Gene of interest	Reciprocal Best Hit
ACFLL8_11500	ACFI6U_15005
ACFLL8_11510	ACFI6U_15010
ACFLL8_11515	ACFI6U_15015
ACFLL8_11520	ACFI6U_15020
ACFJAA_00800	ACFLL8_07300
ACFJAA_05115	ACFLL8_11520
ACFJAA_05120	ACFLL8_11515
ACFJAA_05125	ACFLL8_11510
ACFJAA_05135	ACFLL8_11500
ACFJAA_05140	ACFLL8_11495
ACFJAA_05145	ACFLL8_11490
ACFJAA_15410	ACFLL8_07305
ACFJAA_15420	ACFLL8_07295
ACFJAA_15425	ACFLL8_07290
WP_012591628.1	gene-SPO1588
WP_012591629.1	gene-SPO1587
WP_012591630.1	gene-SPO1586
ACFJAA_03915	gene-SPO3186
ACFJAA_05115	gene-SPO3192
ACFJAA_05120	gene-SPO3191
ACFJAA_05125	gene-SPO3190
ACFJAA_05135	gene-SPO3189
ACFJAA_05140	gene-SPO3188
