Nucleotide.Accession	Organism.Name	Organism.Taxonomic.ID	BioSample	contig.length	Assembly.Accession	Assembly.Name
NZ_JAOYTH010000006.1	Pararhizobium sp. YC-54	2986920	SAMN31210272	324788	GCF_025847205.2 GCF_025847205.1	ASM2584720v2 ASM2584720v1
NZ_CP109787.1	Leisingera thetidis	2930199	SAMN30502271	4362877	GCF_025857195.1	ASM2585719v1
NZ_CP080627.1	Halomonas qaidamensis	2866211	SAMN20568220	3772457	GCF_025917315.1	ASM2591731v1
NZ_CP097859.1	Vibrio owensii	696485	SAMN28460980	2411340	GCF_025917725.1	ASM2591772v1
NZ_JAOQNS010000001.1	Rhodobium gokarnense	364296	SAMN28058241	621172	GCF_025961475.1	ASM2596147v1
NZ_CP036494.1	Pseudomonas putida	303	SAMN11022114	6188267	GCF_025985505.1	ASM2598550v1
NZ_AP026766.1	Vibrio sp. STUT-A16	2976237	SAMD00529539	1881063	GCF_026000495.1	ASM2600049v1
NZ_JAPDOG010000015.1	Defluviimonas salinarum	2992147	SAMN31498047	117588	GCF_026013545.1	ASM2601354v1
NZ_JAOXHO010000004.1	Vibrio splendidus	29497	SAMEA4755328	360632	GCF_026104995.1	ASM2610499v1
NZ_JAOXHN010000014.1	Vibrio splendidus	29497	SAMEA4755327	156241	GCF_026105005.1	ASM2610500v1
NZ_CP110782.1	Pseudomonas putida DOT-T1E	1196325	SAMN31664999	6373258	GCF_026183455.1	ASM2618345v1
NZ_JAKRRX010000070.1	Vibrio paucivorans	2829489	SAMN25824116	23430	GCF_026191655.1	ASM2619165v1
NZ_JAPFCF010000001.1	Pseudomonas sp. DCB_BG	2993595	SAMN31605111	575774	GCF_026241005.1	ASM2624100v1
NZ_JAPFCH010000007.1	Pseudomonas sp. DCB_BZ	2993593	SAMN31605109	201818	GCF_026241035.1	ASM2624103v1
NZ_JAPFCI010000003.1	Pseudomonas sp. DCB_CB	2993592	SAMN31605108	264698	GCF_026241055.1	ASM2624105v1
NZ_JAPFCJ010000027.1	Pseudomonas sp. DCB_E	2993591	SAMN31605107	90591	GCF_026241065.1	ASM2624106v1
NZ_JAPHPW010000005.1	Vibrio sp. 14G-20	2994389	SAMN31633993	266926	GCF_026241515.1	ASM2624151v1
NZ_JAPHPX010000006.1	Vibrio sp. Sgm 22	2994388	SAMN31633992	266970	GCF_026241525.1	ASM2624152v1
NZ_JAPHPY010000009.1	Vibrio sp. Sgm 5	2994387	SAMN31633991	154608	GCF_026241575.1	ASM2624157v1
NZ_JAPJIV010000021.1	Pseudomonas mandelii	75612	SAMN31671170	127458	GCF_026241895.1	ASM2624189v1
NZ_JAPJZK010000001.1	Spartinivicinus marinus	2994442	SAMN31677767	6443410	GCF_026309355.1	ASM2630935v1
NZ_JAPJZX010000006.1	Vibrio parahaemolyticus	670	SAMN31756718	322216	GCF_026310445.1	ASM2631044v1
NZ_CP063454.1	Pseudomonas putida	303	SAMN16439404	5702045	GCF_026428315.1	ASM2642831v1
NZ_JANFLL010000023.1	Vibrio parahaemolyticus	670	SAMN29790270	11876	GCF_026537465.1	ASM2653746v1
NZ_JANFLM010000025.1	Vibrio parahaemolyticus	670	SAMN29790271	11876	GCF_026537485.1	ASM2653748v1
NZ_JANFKR010000008.1	Vibrio parahaemolyticus	670	SAMN29790250	250387	GCF_026537675.1	ASM2653767v1
NZ_JANFKQ010000022.1	Vibrio parahaemolyticus	670	SAMN29790249	11876	GCF_026537745.1	ASM2653774v1
NZ_JANFKK010000006.1	Vibrio parahaemolyticus	670	SAMN29790243	274510	GCF_026537805.1	ASM2653780v1
NZ_JANFKI010000005.1	Vibrio parahaemolyticus	670	SAMN29790241	279518	GCF_026537815.1	ASM2653781v1
NZ_JANFLK010000026.1	Vibrio parahaemolyticus	670	SAMN29790269	11876	GCF_026537985.1	ASM2653798v1
NZ_JAPFCK010000001.1	Pseudomonas sp. DCB_PUT	2993590	SAMN31605106	316430	GCF_026586645.1	ASM2658664v1
NZ_JAPFCL010000025.1	Pseudomonas sp. DCB_Q	2993589	SAMN31605105	82890	GCF_026586725.1	ASM2658672v1
NZ_CP110671.1	Vibrio alginolyticus	663	SAMN29549217	1886538	GCF_026639315.1	ASM2663931v1
NZ_CP033458.1	Vibrio alginolyticus	663	SAMN10358582	1919261	GCF_026651645.1	ASM2665164v1
NZ_JAPQMQ010000004.1	Vibrio alginolyticus	663	SAMN31840780	436646	GCF_026797995.1	ASM2679799v1
NZ_JAPQMT010000013.1	Vibrio mediterranei	689	SAMN31841003	139196	GCF_026798015.1	ASM2679801v1
NZ_JAPQMR010000006.1	Vibrio coralliirubri	1516159	SAMN31840876	309441	GCF_026798035.1	ASM2679803v1
NZ_JAPQMS010000008.1	Vibrio scophthalmi	45658	SAMN31840976	153723	GCF_026798045.1	ASM2679804v1
NZ_JAPQMV010000006.1	Vibrio caribbeanicus	701175	SAMN31841129	202243	GCF_026798135.1	ASM2679813v1
NZ_JAPQMW010000051.1	Vibrio barjaei	1676683	SAMN31841130	36312	GCF_026798155.1	ASM2679815v1
NZ_JAPSFE010000001.1	Vibrio diabolicus	50719	SAMN31919702	1364508	GCF_026847595.1	ASM2684759v1
NZ_JAPSFD010000001.1	Vibrio diabolicus	50719	SAMN31919387	1367758	GCF_026847605.1	ASM2684760v1
NZ_JAPTNL010000003.1	Roseovarius sp. EGI FJ00037	2978479	SAMN30842286	331465	GCF_026891095.1	ASM2689109v1
NZ_CP114035.2	Pseudomonas fortuita	3233375	SAMN32091923	6311744	GCF_026898135.2	ASM2689813v2
NZ_JAPNOV010000001.1	Vibrio diabolicus	50719	SAMN31769754	1742019	GCF_026898475.1	ASM2689847v1
NZ_JADKLS010000020.1	Vibrio diabolicus	50719	SAMN16560730	526570	GCF_026933185.1	ASM2693318v1
NZ_JAPUBN010000019.1	Marinomonas phaeophyticola	3004091	SAMN32123883	423359	GCF_026966905.1	ASM2696690v1
NZ_JAPUCB010000015.1	Vibrio alginolyticus	663	SAMN32155749	132865	GCF_026967435.1	ASM2696743v1
NZ_JALUXE010000030.1	Roseovarius sp.	1486281	SAMN27359718	554668	GCF_027019125.1	ASM2701912v1
NZ_JAPWHB010000016.1	Hoeflea alexandrii	288436	SAMN32218577	28726	GCF_027214025.1	ASM2721402v1
NZ_JAPWHI010000001.1	Vibrio alginolyticus	663	SAMN32218570	1031697	GCF_027214205.1	ASM2721420v1
NZ_JAPWHN010000003.1	Vibrio atlanticus	693153	SAMN32218565	353409	GCF_027214285.1	ASM2721428v1
NZ_JAPXVA010000001.1	Vibrio parahaemolyticus	670	SAMN32300851	1258020	GCF_027277545.1	ASM2727754v1
NZ_JAPXVN010000001.1	Vibrio alginolyticus	663	SAMN32302392	449164	GCF_027277705.1	ASM2727770v1
NZ_JAPXVB010000001.1	Vibrio parahaemolyticus	670	SAMN32300853	1173198	GCF_027277785.1	ASM2727778v1
NZ_JAPFQA010000001.1	Mesorhizobium qingshengii	1165689	SAMN31580696	961612	GCF_027563465.1	ASM2756346v1
NZ_CP085636.1	Shewanella sp. MTB7	2746932	SAMN15339468	6367435	GCF_027571385.1	ASM2757138v1
NZ_JAPPTG010000006.1	Vibrio sp. ART SEL2	2998827	SAMN31235356	390168	GCF_027586975.1	ASM2758697v1
NZ_JAPPTJ010000003.1	Vibrio sp. La 4.2.2	2998830	SAMN31235353	673786	GCF_027586995.1	ASM2758699v1
NZ_JAPPTK010000003.1	Vibrio sp. MarTm2	2998831	SAMN31235352	621749	GCF_027587055.1	ASM2758705v1
NZ_JAPPTL010000005.1	Vibrio sp. 2art	2998832	SAMN31235351	250812	GCF_027587075.1	ASM2758707v1
NZ_JAPPTN010000010.1	Vibrio sp. NFR	2998834	SAMN31235349	239737	GCF_027587095.1	ASM2758709v1
NZ_JAPPTO010000020.1	Vibrio sp. MM46	2998835	SAMN31235348	105885	GCF_027587135.1	ASM2758713v1
NZ_JAPPTP010000001.1	Vibrio sp. T11.5	2998836	SAMN31235347	692406	GCF_027587155.1	ASM2758715v1
NZ_JAQBSN010000024.1	Vibrio owensii	696485	SAMN32359042	88361	GCF_027591785.1	ASM2759178v1
NZ_JAQBST010000001.1	Vibrio alginolyticus	663	SAMN32359190	1397676	GCF_027591895.1	ASM2759189v1
NZ_JAQBSS010000021.1	Vibrio alginolyticus	663	SAMN32359188	100040	GCF_027591915.1	ASM2759191v1
NZ_CP096920.1	Pseudomonas putida	303	SAMN28016848	6362490	GCF_027595085.1	ASM2759508v1
NZ_JAPMUE010000047.1	Parasedimentitalea psychrophila	2997337	SAMN31857479	22949	GCF_027853795.1	ASM2785379v1
NZ_CP115661.1	Pseudomonas putida	303	SAMN32340834	5912082	GCF_027886605.1	ASM2788660v1
NZ_CP115663.1	Pseudomonas putida	303	SAMN32340833	5912475	GCF_027886645.1	ASM2788664v1
NZ_CP115665.1	Pseudomonas putida	303	SAMN32340832	5913415	GCF_027886665.1	ASM2788666v1
NZ_JAPJZH010000005.1	Hoeflea poritis	2993659	SAMN31635191	335476	GCF_027889715.1	ASM2788971v1
NZ_JAQIIO010000005.1	Aliiroseovarius salicola	3009082	SAMN32183279	272620	GCF_027891095.1	ASM2789109v1
NZ_AP027046.1	Vibrio nigripulchritudo	28173	SAMD00553062	2160601	GCF_027924725.1	ASM2792472v1
NZ_AP027050.1	Vibrio nigripulchritudo	28173	SAMD00553063	2181675	GCF_027924785.1	ASM2792478v1
NZ_AP027053.1	Vibrio nigripulchritudo	28173	SAMD00553064	2189521	GCF_027924845.1	ASM2792484v1
NZ_JAQJIM010000005.1	Shimia sp. MMG029	3021978	SAMN32732494	319699	GCF_027947445.1	ASM2794744v1
NZ_JAQJZJ010000012.1	Pseudomonas aestuarii	3018340	SAMN32759035	169422	GCF_027988105.1	ASM2798810v1
NZ_JAQIOZ010000005.1	Primorskyibacter aestuariivivens	1888912	SAMN32673002	340537	GCF_028023675.1	ASM2802367v1
NZ_JALCBM010000037.1	Ruegeria sp.	1879320	SAMN26001871	43318	GCF_028066395.1	ASM2806639v1
NZ_JANEWF010000016.1	Metapseudomonas resinovorans	53412	SAMN29627023	109159	GCF_028069665.1	ASM2806966v1
NZ_JAQBIF010000002.1	Paracoccus fistulariae	658446	SAMN32508215	422254	GCF_028294495.1	ASM2829449v1
NZ_JAELVO010000001.1	Vibrio parahaemolyticus	670	SAMN17136215	1776060	GCF_028309885.1	ASM2830988v1
NZ_JAQNCY010000003.1	Leisingera sp. SS27	2979462	SAMN30917117	407847	GCF_028368855.1	ASM2836885v1
NZ_JAPFIM010000018.1	Vibrio europaeus	300876	SAMN31656041	1107541	GCF_028446565.1	ASM2844656v1
NZ_JAPFIO010000022.1	Vibrio europaeus	300876	SAMN31656039	1107530	GCF_028446605.1	ASM2844660v1
NZ_JAPFIN010000019.1	Vibrio europaeus	300876	SAMN31656040	1759184	GCF_028446645.1	ASM2844664v1
NZ_JAPFIP010000024.1	Vibrio europaeus	300876	SAMN31656038	1592923	GCF_028446665.1	ASM2844666v1
NZ_JAPFIQ010000017.1	Vibrio europaeus	300876	SAMN31656037	1751869	GCF_028446685.1	ASM2844668v1
NZ_JAPFIR010000011.1	Vibrio europaeus	300876	SAMN31656036	1100179	GCF_028446705.1	ASM2844670v1
NZ_JAPFIS010000014.1	Vibrio europaeus	300876	SAMN31656035	1100150	GCF_028446725.1	ASM2844672v1
NZ_JAPFIT010000010.1	Vibrio europaeus	300876	SAMN31656034	1100192	GCF_028446745.1	ASM2844674v1
NZ_JAPFIV010000022.1	Vibrio europaeus	300876	SAMN31656032	1131487	GCF_028446755.1	ASM2844675v1
NZ_JAPFIU010000014.1	Vibrio europaeus	300876	SAMN31656033	1751869	GCF_028446765.1	ASM2844676v1
NZ_JAPFIW010000014.1	Vibrio europaeus	300876	SAMN31656031	1751869	GCF_028446805.1	ASM2844680v1
NZ_JAPFIX010000012.1	Vibrio europaeus	300876	SAMN31656030	1751869	GCF_028446825.1	ASM2844682v1
NZ_JAPFJA010000012.1	Vibrio europaeus	300876	SAMN31656027	1751869	GCF_028446845.1	ASM2844684v1
NZ_JAPFIY010000013.1	Vibrio europaeus	300876	SAMN31656029	1751853	GCF_028446865.1	ASM2844686v1
NZ_JAPFIZ010000014.1	Vibrio europaeus	300876	SAMN31656028	1754046	GCF_028446885.1	ASM2844688v1
NZ_JAPFJC010000010.1	Vibrio europaeus	300876	SAMN31656025	1100158	GCF_028446905.1	ASM2844690v1
NZ_JAPFJB010000015.1	Vibrio europaeus	300876	SAMN31656026	1751869	GCF_028446925.1	ASM2844692v1
NZ_JAPFJD010000011.1	Vibrio europaeus	300876	SAMN31656024	1751853	GCF_028446945.1	ASM2844694v1
NZ_JAPFJE010000018.1	Vibrio europaeus	300876	SAMN31656023	1131537	GCF_028446965.1	ASM2844696v1
NZ_JAPFJF010000015.1	Vibrio europaeus	300876	SAMN31656022	1753936	GCF_028446985.1	ASM2844698v1
NZ_JAPFJG010000004.1	Vibrio europaeus	300876	SAMN31656021	1752613	GCF_028447005.1	ASM2844700v1
NZ_JAPFJH010000020.1	Vibrio europaeus	300876	SAMN31656020	1780607	GCF_028447025.1	ASM2844702v1
NZ_JAPFJI010000027.1	Vibrio europaeus	300876	SAMN31656019	950322	GCF_028447045.1	ASM2844704v1
NZ_JAPFJL010000018.1	Vibrio europaeus	300876	SAMN31656016	1250666	GCF_028447065.1	ASM2844706v1
NZ_JAPFJJ010000009.1	Vibrio europaeus	300876	SAMN31656018	1061423	GCF_028447085.1	ASM2844708v1
NZ_JAPFJK010000020.1	Vibrio europaeus	300876	SAMN31656017	1418521	GCF_028447095.1	ASM2844709v1
NZ_JAPFJN010000026.1	Vibrio europaeus	300876	SAMN31656014	1780607	GCF_028447125.1	ASM2844712v1
NZ_JAPFJM010000019.1	Vibrio europaeus	300876	SAMN31656015	1780607	GCF_028447135.1	ASM2844713v1
NZ_JAPFJO010000023.1	Vibrio europaeus	300876	SAMN31656013	990542	GCF_028447165.1	ASM2844716v1
NZ_JAPFJP010000028.1	Vibrio europaeus	300876	SAMN31656012	1079257	GCF_028447185.1	ASM2844718v1
NZ_JAPFJQ010000004.1	Vibrio europaeus	300876	SAMN31656011	1796832	GCF_028447205.1	ASM2844720v1
NZ_JAPFJS010000012.1	Vibrio europaeus	300876	SAMN31656009	1759161	GCF_028447225.1	ASM2844722v1
NZ_JAPFJR010000019.1	Vibrio europaeus	300876	SAMN31656010	1035260	GCF_028447235.1	ASM2844723v1
NZ_JAPFJT010000014.1	Vibrio europaeus	300876	SAMN31656008	1121862	GCF_028447245.1	ASM2844724v1
NZ_CP110128.1	Pseudomonas sp. WJP1	2986947	SAMN31324802	7004124	GCF_028471945.1	ASM2847194v1
NZ_CP117038.1	Vibrio parahaemolyticus	670	SAMN32966975	1885501	GCF_028551295.1	ASM2855129v1
NZ_CP117055.1	Vibrio harveyi	669	SAMN32983302	2288269	GCF_028551315.1	ASM2855131v1
NZ_CP067134.1	Paracoccus stylophorae	659350	SAMN17208933	3634760	GCF_028553765.1	ASM2855376v1
NZ_CP067136.1	Paracoccus fistulariae	658446	SAMN17209169	3621100	GCF_028553785.1	ASM2855378v1
NZ_JAQBIJ010000001.1	Vibrio parahaemolyticus	670	SAMN32400341	1121279	GCF_028615055.1	ASM2861505v1
NZ_JAQBIQ010000001.1	Vibrio parahaemolyticus	670	SAMN32405598	1359912	GCF_028615335.1	ASM2861533v1
NZ_JAQBIY010000001.1	Vibrio parahaemolyticus	670	SAMN32405628	1400070	GCF_028615475.1	ASM2861547v1
NZ_JAQBJG010000002.1	Vibrio parahaemolyticus	670	SAMN32406228	596270	GCF_028615655.1	ASM2861565v1
NZ_JAQBJI010000001.1	Vibrio parahaemolyticus	670	SAMN32406230	1808978	GCF_028615695.1	ASM2861569v1
NZ_JAQBJJ010000001.1	Vibrio parahaemolyticus	670	SAMN32406232	1363592	GCF_028615705.1	ASM2861570v1
NZ_JAQBJK010000001.1	Vibrio parahaemolyticus	670	SAMN32406234	1363592	GCF_028615735.1	ASM2861573v1
NZ_JAQBJV010000001.1	Vibrio parahaemolyticus	670	SAMN32406714	975510	GCF_028615955.1	ASM2861595v1
NZ_JAQBJW010000001.1	Vibrio parahaemolyticus	670	SAMN32406716	1427954	GCF_028615975.1	ASM2861597v1
NZ_JAQBJY010000001.1	Vibrio parahaemolyticus	670	SAMN32406741	710077	GCF_028616015.1	ASM2861601v1
NZ_JAQBKA010000001.1	Vibrio parahaemolyticus	670	SAMN32406744	710253	GCF_028616055.1	ASM2861605v1
NZ_JAQBKC010000001.1	Vibrio parahaemolyticus	670	SAMN32406747	710077	GCF_028616115.1	ASM2861611v1
NZ_JAQBKH010000001.1	Vibrio parahaemolyticus	670	SAMN32407261	933497	GCF_028616195.1	ASM2861619v1
NZ_JAQBKQ010000001.1	Vibrio parahaemolyticus	670	SAMN32407413	921583	GCF_028616275.1	ASM2861627v1
NZ_JAQBKM010000001.1	Vibrio parahaemolyticus	670	SAMN32407400	1307496	GCF_028617135.1	ASM2861713v1
NZ_JAQBKY010000001.1	Vibrio parahaemolyticus	670	SAMN32407570	962191	GCF_028617305.1	ASM2861730v1
NZ_JAQBLE010000001.1	Vibrio parahaemolyticus	670	SAMN32407621	697523	GCF_028617395.1	ASM2861739v1
NZ_JAQBLC010000001.1	Vibrio parahaemolyticus	670	SAMN32407619	642401	GCF_028617405.1	ASM2861740v1
NZ_JAQBLD010000002.1	Vibrio parahaemolyticus	670	SAMN32407620	908580	GCF_028617415.1	ASM2861741v1
NZ_JAQBLF010000002.1	Vibrio parahaemolyticus	670	SAMN32407628	970818	GCF_028617455.1	ASM2861745v1
NZ_JAQBLG010000002.1	Vibrio parahaemolyticus	670	SAMN32407635	970818	GCF_028617475.1	ASM2861747v1
NZ_JAQBLY010000001.1	Vibrio parahaemolyticus	670	SAMN32407970	578707	GCF_028617815.1	ASM2861781v1
NZ_JAQBMA010000003.1	Vibrio parahaemolyticus	670	SAMN32411236	584829	GCF_028617875.1	ASM2861787v1
NZ_JAQBMS010000001.1	Vibrio parahaemolyticus	670	SAMN32411316	923930	GCF_028618235.1	ASM2861823v1
NZ_JANHKQ010000024.1	Pseudomonas putida	303	SAMN29855464	107368	GCF_028682095.1	ASM2868209v1
NZ_JANIAG010000060.1	Pseudomonas sp. 39004	2967213	SAMN29855465	29333	GCF_028682155.1	ASM2868215v1
NZ_JANHKS010000002.1	Pseudomonas putida	303	SAMN29855460	295803	GCF_028682175.1	ASM2868217v1
NZ_JANHKT010000013.1	Pseudomonas putida	303	SAMN29855458	168212	GCF_028682195.1	ASM2868219v1
NZ_JANHKU010000007.1	Pseudomonas putida	303	SAMN29855456	305903	GCF_028682215.1	ASM2868221v1
NZ_JANHKV010000002.1	Pseudomonas putida	303	SAMN29855455	517130	GCF_028682255.1	ASM2868225v1
NZ_JANHKW010000016.1	Pseudomonas putida	303	SAMN29855454	147923	GCF_028682275.1	ASM2868227v1
NZ_JANHKX010000002.1	Pseudomonas putida	303	SAMN29855453	402626	GCF_028682295.1	ASM2868229v1
NZ_JANHKZ010000010.1	Pseudomonas putida	303	SAMN29855451	213622	GCF_028682315.1	ASM2868231v1
NZ_JANHLA010000001.1	Pseudomonas putida	303	SAMN29855449	411893	GCF_028682335.1	ASM2868233v1
NZ_JANHKY010000003.1	Pseudomonas putida	303	SAMN29855452	260015	GCF_028682345.1	ASM2868234v1
NZ_JANHLB010000005.1	Pseudomonas putida	303	SAMN29855448	207526	GCF_028682375.1	ASM2868237v1
NZ_JANIBB010000006.1	Pseudomonas putida	303	SAMN29855446	207526	GCF_028682425.1	ASM2868242v1
NZ_JANHLF010000011.1	Pseudomonas putida	303	SAMN29855441	208270	GCF_028682505.1	ASM2868250v1
NZ_JANHLH010000002.1	Pseudomonas putida	303	SAMN29855439	373924	GCF_028682535.1	ASM2868253v1
NZ_JANHLG010000021.1	Pseudomonas putida	303	SAMN29855440	111030	GCF_028682545.1	ASM2868254v1
NZ_JANIAL010000007.1	Pseudomonas guariconensis	1288410	SAMN29855436	314271	GCF_028682615.1	ASM2868261v1
NZ_JANHLK010000045.1	Pseudomonas putida	303	SAMN29855434	31092	GCF_028682635.1	ASM2868263v1
NZ_JANHLL010000012.1	Pseudomonas putida	303	SAMN29855432	184782	GCF_028682675.1	ASM2868267v1
NZ_JANHLM010000002.1	Pseudomonas putida	303	SAMN29855429	415767	GCF_028682745.1	ASM2868274v1
NZ_JANHLN010000010.1	Pseudomonas putida	303	SAMN29855427	254584	GCF_028682795.1	ASM2868279v1
NZ_JANHLO010000012.1	Pseudomonas putida	303	SAMN29855426	177526	GCF_028682805.1	ASM2868280v1
NZ_JAJUBC010000011.1	Enterovibrio gelatinilyticus	2899819	SAMN23551577	168870	GCF_028683095.1	ASM2868309v1
NZ_JAJUBB010000002.1	Enterovibrio qingdaonensis	2899818	SAMN23551576	490470	GCF_028683135.1	ASM2868313v1
NZ_CP117989.1	Vibrio campbellii	680	SAMN33268490	2206246	GCF_028743655.1	ASM2874365v1
NZ_CP117995.1	Vibrio alginolyticus	663	SAMN33277152	1838635	GCF_028743695.1	ASM2874369v1
NZ_JARAMN010000006.1	Dinoroseobacter sp. PD6	3028384	SAMN33270642	216716	GCF_028807315.1	ASM2880731v1
NZ_JARAMK010000006.1	Roseovarius sp. SK2	3028381	SAMN33270639	251036	GCF_028807495.1	ASM2880749v1
NZ_JAQIYM010000028.1	Pseudomonas serbica	2965074	SAMN30035157	33029	GCF_028823535.1	ASM2882353v1
NZ_JAPEIC010000002.1	Vibrio sp. VA3	2992765	SAMN29790135	798857	GCF_028823765.1	ASM2882376v1
NZ_JARBUU010000044.1	Metapseudomonas resinovorans	53412	SAMN33187963	543353	GCF_028882285.1	ASM2888228v1
NZ_CP118531.1	Vibrio harveyi	669	SAMN33278202	2341613	GCF_028885545.1	ASM2888554v1
NZ_CP118533.1	Vibrio harveyi	669	SAMN33278197	2341913	GCF_028885585.1	ASM2888558v1
NZ_CP118529.1	Vibrio harveyi	669	SAMN33269782	2262649	GCF_028885605.1	ASM2888560v1
NZ_JAGGEB010000001.1	Vibrio sp. CC007	2820402	SAMN18393379	953696	GCF_028888725.1	ASM2888872v1
NZ_SAXC01000001.1	Psychrobacter sp. DAB_AL62B	1028420	SAMN10713547	732688	GCF_028895345.1	ASM2889534v1
NZ_CP118577.1	Vibrio harveyi	669	SAMN33330963	2329450	GCF_028898625.1	ASM2889862v1
NZ_CP118583.1	Vibrio harveyi	669	SAMN33330966	2341735	GCF_028898645.1	ASM2889864v1
NZ_CP118579.1	Vibrio harveyi	669	SAMN33330964	2300510	GCF_028898665.1	ASM2889866v1
NZ_CP118581.1	Vibrio harveyi	669	SAMN33330965	2387702	GCF_028898685.1	ASM2889868v1
NZ_CP118597.1	Vibrio harveyi	669	SAMN33330972	2275091	GCF_028898705.1	ASM2889870v1
NZ_CP118587.1	Vibrio harveyi	669	SAMN33330968	2328756	GCF_028898725.1	ASM2889872v1
NZ_CP118591.1	Vibrio harveyi	669	SAMN33330974	2297348	GCF_028898745.1	ASM2889874v1
NZ_CP118585.1	Vibrio harveyi	669	SAMN33330967	2231468	GCF_028898825.1	ASM2889882v1
NZ_CP091975.1	Vibrio sp. DW001	2912315	SAMN25211475	3774983	GCF_029016285.1	ASM2901628v1
NZ_CP118931.1	Vibrio alginolyticus	663	SAMN32339287	1899738	GCF_029023705.1	ASM2902370v1
NZ_JAJQTQ010000014.1	Halomonas elongata	2746	SAMN24018178	118020	GCF_029081005.1	ASM2908100v1
NZ_CP119335.1	Vibrio alginolyticus	663	SAMN33548586	1784719	GCF_029203225.1	ASM2920322v1
NZ_JAACFX010000007.1	Pseudomonas sp. 3MA1	2699196	SAMN13876492	382323	GCF_029237275.1	ASM2923727v1
NZ_JAQWYD010000057.1	Lentibacter sp.	2024994	SAMN32744664	68348	GCF_029254145.1	ASM2925414v1
NZ_JARICI010000018.1	Sporosarcina sp.	49982	SAMN33569584	99959	GCF_029257255.1	ASM2925725v1
NZ_JARICG010000039.1	Sporosarcina sp.	49982	SAMN33569582	99959	GCF_029257285.1	ASM2925728v1
NZ_JARIXT010000007.1	Pseudomonas sp. ER28	3033801	SAMN33601510	169734	GCF_029269255.1	ASM2926925v1
NZ_JABEDX010000001.1	Sulfitobacter sp. M77	2731178	SAMN14752277	1641115	GCF_029284755.1	ASM2928475v1
NZ_JABEDW010000001.1	Sulfitobacter sp. M74	2731177	SAMN14752276	1641114	GCF_029284775.1	ASM2928477v1
NZ_JABEDZ010000001.1	Sulfitobacter sp. S66	2731180	SAMN14752279	1641115	GCF_029284795.1	ASM2928479v1
NZ_JABEDY010000001.1	Sulfitobacter sp. S62	2731179	SAMN14752278	1641115	GCF_029284815.1	ASM2928481v1
NZ_JABEEA010000001.1	Sulfitobacter sp. S74	2731181	SAMN14752280	1641107	GCF_029284825.1	ASM2928482v1
NZ_JABEDU010000001.1	Sulfitobacter sp. M71	2731175	SAMN14752274	1640922	GCF_029284915.1	ASM2928491v1
NZ_JABEDQ010000001.1	Sulfitobacter sp. M57	2731171	SAMN14752270	1641115	GCF_029284935.1	ASM2928493v1
NZ_JABEDS010000001.1	Sulfitobacter sp. M62	2731173	SAMN14752272	1641114	GCF_029284945.1	ASM2928494v1
NZ_JABEDT010000001.1	Sulfitobacter sp. M63	2731174	SAMN14752273	1641115	GCF_029284975.1	ASM2928497v1
NZ_JABEDR010000001.1	Sulfitobacter sp. M60	2731172	SAMN14752271	1641114	GCF_029284995.1	ASM2928499v1
NZ_JABEDP010000001.1	Sulfitobacter sp. M56	2731170	SAMN14752269	1641114	GCF_029285015.1	ASM2928501v1
NZ_JABEDN010000001.1	Sulfitobacter sp. M53	2731168	SAMN14752267	1641115	GCF_029285035.1	ASM2928503v1
NZ_JABEDO010000001.1	Sulfitobacter sp. M54	2731169	SAMN14752268	1641115	GCF_029285045.1	ASM2928504v1
NZ_JABEDM010000001.1	Sulfitobacter sp. M51	2731167	SAMN14752266	1641114	GCF_029285075.1	ASM2928507v1
NZ_JABEDL010000001.1	Sulfitobacter sp. M48	2731166	SAMN14752265	1641016	GCF_029285085.1	ASM2928508v1
NZ_JABEDK010000001.1	Sulfitobacter sp. M36	2731165	SAMN14752264	1641115	GCF_029285115.1	ASM2928511v1
NZ_JABEDJ010000001.1	Sulfitobacter sp. M28	2731164	SAMN14752263	1641114	GCF_029285135.1	ASM2928513v1
NZ_JABEDH010000001.1	Sulfitobacter sp. M05	2731161	SAMN14752260	1641115	GCF_029285175.1	ASM2928517v1
NZ_JABEDI010000001.1	Sulfitobacter sp. M24	2731162	SAMN14752261	1641114	GCF_029285205.1	ASM2928520v1
NZ_JABEDG010000001.1	Sulfitobacter sp. Ks18	2731160	SAMN14752259	1641114	GCF_029285275.1	ASM2928527v1
NZ_JABEDF010000001.1	Sulfitobacter sp. Ks17	2731159	SAMN14752258	1641114	GCF_029285315.1	ASM2928531v1
NZ_JABEDE010000001.1	Sulfitobacter sp. Ks13	2731158	SAMN14752257	1641114	GCF_029285375.1	ASM2928537v1
NZ_JABEDD010000001.1	Sulfitobacter sp. KE5	2731157	SAMN14752256	1641115	GCF_029285395.1	ASM2928539v1
NZ_JABEDC010000001.1	Sulfitobacter sp. KE43	2731156	SAMN14752255	1641114	GCF_029285405.1	ASM2928540v1
NZ_JABEDB010000001.1	Sulfitobacter sp. KE42	2731155	SAMN14752254	1641115	GCF_029285475.1	ASM2928547v1
NZ_JABEDV010000001.1	Sulfitobacter sp. M72	2731176	SAMN14752275	1641114	GCF_029285675.1	ASM2928567v1
NZ_JARJLO010000445.1	Pseudomonas putida	303	SAMN32359049	26290	GCF_029335415.1	ASM2933541v1
NZ_JARJLN010000366.1	Pseudomonas putida	303	SAMN32359048	50435	GCF_029335435.1	ASM2933543v1
