Protein	ncbi.taxid	Organism	Start	Stop	Strand	Nucleotide.Accession	Assembly	gene.length	protein.length	cluster.representative	query	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	protein.function	distance.to.min
WP_300549060.1	1486281	Roseovarius sp.	42767	43762	-	NZ_JASBSP010000011.1	GCF_030148855.1	996	332	WP_085826636.1	OBi1_02318	55.046	327	147	0	6	332	3	329	1.69e-132	390	aminohydrolase	2080
WP_294609088.1	1486281	Roseovarius sp.	40037	40690	-	NZ_JASBSP010000011.1	GCF_030148855.1	654	218	WP_294609088.1	SPO3188	44.24	217	114	4	1	210	1	217	7.37e-44	155	dehydrogenase	650
WP_300549058.1	1486281	Roseovarius sp.	40687	42378	-	NZ_JASBSP010000011.1	GCF_030148855.1	1692	564	WP_085826638.1	OBi1_02316	40.741	567	307	7	16	570	8	557	1.21e-119	376	hydroxylase	0
WP_300587669.1	2003365	Marivita sp.	72839	73192	-	NZ_JASBTG010000096.1	GCF_030148515.1	354	118	WP_146590174.1	OBi1_02314	28.713	101	67	1	21	121	18	113	1.12e-05	52	RidA	1102
WP_300587682.1	2003365	Marivita sp.	78295	79740	-	NZ_JASBTG010000096.1	GCF_030148515.1	1446	482	WP_300587682.1	OBi1_02319	61.099	473	184	0	16	488	5	477	0	608	aminoaldehyde dehydrogenase	4354
WP_300587680.1	2003365	Marivita sp.	77285	78298	-	NZ_JASBTG010000096.1	GCF_030148515.1	1014	338	WP_300587680.1	OBi1_02318	61.905	315	120	0	8	322	5	319	5.11e-145	422	aminohydrolase	3344
WP_300587672.1	2003365	Marivita sp.	73210	73944	-	NZ_JASBTG010000096.1	GCF_030148515.1	735	245	WP_300587672.1	SPO3188	35.747	221	124	6	3	210	29	244	2.31e-17	88.2	dehydrogenase	731
WP_300587675.1	2003365	Marivita sp.	73941	75620	-	NZ_JASBTG010000096.1	GCF_030148515.1	1680	560	WP_292265517.1	OBi1_02316	42.596	547	298	7	20	557	17	556	1.41e-124	388	hydroxylase	0
WP_300587677.1	2003365	Marivita sp.	75689	77239	-	NZ_JASBTG010000096.1	GCF_030148515.1	1551	517	WP_233422027.1	OBi1_02317	53.061	490	219	6	25	507	2	487	2.05e-165	488	permease	1748
WP_110750553.1	286	Pseudomonas sp. V98_8	21939	22310	+	NZ_JASCAE010000088.1	GCF_029967975.1	372	124	WP_262167235.1	OBi1_02314	66.129	124	42	0	1	124	1	124	5.45e-55	177	RidA	4036
WP_282488377.1	3044228	Pseudomonas sp. V98_8	15334	16776	+	NZ_JASCAE010000088.1	GCF_029967975.1	1443	481	WP_007975233.1	OBi1_02319	71.975	471	132	0	17	487	9	479	0	719	aminoaldehyde dehydrogenase	2569
WP_110750545.1	286	Pseudomonas sp. V98_8	16790	17776	+	NZ_JASCAE010000088.1	GCF_029967975.1	987	329	WP_008061104.1	OBi1_02318	72.05	322	90	0	5	326	4	325	4.96e-175	498	aminohydrolase	1113
WP_188265611.1	196821	Pseudomonas sp. V98_8	21197	21910	+	NZ_JASCAE010000088.1	GCF_029967975.1	714	238	WP_008061110.1	OBi1_02315	39.615	260	132	5	1	260	1	235	6.13e-53	181	dehydrogenase	3294
WP_188265612.1	196821	Pseudomonas sp. V98_8	19480	21195	+	NZ_JASCAE010000088.1	GCF_029967975.1	1716	572	WP_180206068.1	OBi1_02316	56.591	569	242	2	11	579	5	568	0	598	hydroxylase	1577
WP_110750547.1	286	Pseudomonas sp. V98_8	17903	19456	+	NZ_JASCAE010000088.1	GCF_029967975.1	1554	518	WP_110660951.1	OBi1_02317	45.009	531	274	8	1	522	1	522	2.45e-137	417	permease	0
WP_284727366.1	204286	Cobetia amphilecti	11692	12075	+	NZ_JASCSA010000015.1	GCF_030010415.1	384	128	WP_141391999.1	OBi1_02314	95.238	126	6	0	1	126	1	126	2.46e-82	247	RidA	4301
WP_284727362.1	204286	Cobetia amphilecti	4794	6260	+	NZ_JASCSA010000015.1	GCF_030010415.1	1467	489	WP_285461821.1	OBi1_02319	96.516	488	17	0	1	488	1	488	0	976	aminoaldehyde dehydrogenase	2597
WP_284727363.1	204286	Cobetia amphilecti	6270	7271	+	NZ_JASCSA010000015.1	GCF_030010415.1	1002	334	WP_253060830.1	OBi1_02318	96.697	333	11	0	1	333	1	333	0	675	aminohydrolase	1121
WP_284727365.1	204286	Cobetia amphilecti	10805	11593	+	NZ_JASCSA010000015.1	GCF_030010415.1	789	263	WP_175089542.1	OBi1_02315	98.092	262	5	0	1	262	1	262	0	530	dehydrogenase	3414
WP_284727364.1	204286	Cobetia amphilecti	9009	10808	+	NZ_JASCSA010000015.1	GCF_030010415.1	1800	600	WP_197738676.1	OBi1_02316	97.997	599	12	0	1	599	1	599	0	1208	hydroxylase	1618
WP_279837292.1	204286	Cobetia amphilecti	7391	9007	+	NZ_JASCSA010000015.1	GCF_030010415.1	1617	539	WP_131432365.1	OBi1_02317	99.071	538	5	0	1	538	1	538	0	1054	permease	0
WP_290177240.1	3035190	Psychrobacter sp. APC 3281	51066	51455	+	NZ_JASDCS010000001.1	GCF_030407815.1	390	130	WP_057760026.1	OBi1_02314	65.546	119	41	0	5	123	10	128	3.06e-52	171	RidA	3207
WP_290177241.1	3035190	Psychrobacter sp. APC 3281	51504	52991	+	NZ_JASDCS010000001.1	GCF_030407815.1	1488	496	WP_240216060.1	OBi1_02319	64.693	473	167	0	16	488	18	490	0	663	aminoaldehyde dehydrogenase	2769
WP_290177242.1	3035190	Psychrobacter sp. APC 3281	53087	54076	+	NZ_JASDCS010000001.1	GCF_030407815.1	990	330	WP_207990480.1	OBi1_02318	60.494	324	128	0	1	324	1	324	6.28e-150	434	aminohydrolase	1186
WP_290177245.1	3035190	Psychrobacter sp. APC 3281	58035	58760	+	NZ_JASDCS010000001.1	GCF_030407815.1	726	242	WP_189582338.1	OBi1_02315	28.235	255	167	4	1	255	1	239	7.19e-20	96.3	dehydrogenase	3762
WP_290177244.1	3035190	Psychrobacter sp. APC 3281	56303	58051	+	NZ_JASDCS010000001.1	GCF_030407815.1	1749	583	WP_290164642.1	OBi1_02316	45.259	559	292	5	19	576	25	570	7.35e-169	503	hydroxylase	2030
WP_290177243.1	3035190	Psychrobacter sp. APC 3281	54273	55967	+	NZ_JASDCS010000001.1	GCF_030407815.1	1695	565	WP_068326474.1	OBi1_02317	49.393	494	245	2	34	527	50	538	2.5e-171	506	permease	0
WP_290164635.1	196806	Psychrobacter sp. APC 3350	3337	3726	+	NZ_JASDCX010000071.1	GCF_030407695.1	390	130	WP_057760026.1	OBi1_02314	65.546	119	41	0	5	123	10	128	3.06e-52	171	RidA	2021
WP_290164637.1	196806	Psychrobacter sp. APC 3350	3775	5250	+	NZ_JASDCX010000071.1	GCF_030407695.1	1476	492	WP_240216060.1	OBi1_02319	64.693	473	167	0	16	488	18	490	0	663	aminoaldehyde dehydrogenase	1583
WP_290164638.1	196806	Psychrobacter sp. APC 3350	5358	6347	+	NZ_JASDCX010000071.1	GCF_030407695.1	990	330	WP_207990480.1	OBi1_02318	60.494	324	128	0	1	324	1	324	6.28e-150	434	aminohydrolase	0
WP_290164643.1	196806	Psychrobacter sp. APC 3350	10131	10856	+	NZ_JASDCX010000071.1	GCF_030407695.1	726	242	WP_189582338.1	OBi1_02315	28.235	255	167	4	1	255	1	239	7.19e-20	96.3	dehydrogenase	4773
WP_290164642.1	196806	Psychrobacter sp. APC 3350	8398	10134	+	NZ_JASDCX010000071.1	GCF_030407695.1	1737	579	WP_290164642.1	OBi1_02316	45.259	559	292	5	19	576	25	570	7.35e-169	503	hydroxylase	3040
WP_290164640.1	196806	Psychrobacter sp. APC 3350	6541	8262	+	NZ_JASDCX010000071.1	GCF_030407695.1	1722	574	WP_068326474.1	OBi1_02317	49.393	494	245	2	34	527	50	538	2.5e-171	506	permease	1183
WP_290164635.1	196806	Psychrobacter sp. 5A.1	12206	12595	-	NZ_JASDDJ010000042.1	GCF_030407455.1	390	130	WP_057760026.1	OBi1_02314	65.546	119	41	0	5	123	10	128	3.06e-52	171	RidA	4536
WP_290164637.1	196806	Psychrobacter sp. 5A.1	10682	12157	-	NZ_JASDDJ010000042.1	GCF_030407455.1	1476	492	WP_240216060.1	OBi1_02319	64.693	473	167	0	16	488	18	490	0	663	aminoaldehyde dehydrogenase	3012
WP_290164638.1	196806	Psychrobacter sp. 5A.1	9585	10574	-	NZ_JASDDJ010000042.1	GCF_030407455.1	990	330	WP_207990480.1	OBi1_02318	60.494	324	128	0	1	324	1	324	6.28e-150	434	aminohydrolase	1915
WP_290164643.1	196806	Psychrobacter sp. 5A.1	5076	5801	-	NZ_JASDDJ010000042.1	GCF_030407455.1	726	242	WP_189582338.1	OBi1_02315	28.235	255	167	4	1	255	1	239	7.19e-20	96.3	dehydrogenase	2594
WP_290164642.1	196806	Psychrobacter sp. 5A.1	5798	7534	-	NZ_JASDDJ010000042.1	GCF_030407455.1	1737	579	WP_290164642.1	OBi1_02316	45.259	559	292	5	19	576	25	570	7.35e-169	503	hydroxylase	1872
WP_290164640.1	196806	Psychrobacter sp. 5A.1	7670	9391	-	NZ_JASDDJ010000042.1	GCF_030407455.1	1722	574	WP_068326474.1	OBi1_02317	49.393	494	245	2	34	527	50	538	2.5e-171	506	permease	0
WP_283209790.1	3045174	Marinobacter sp. CHS3-4	854043	854432	-	NZ_JASGBJ010000002.1	GCF_030053415.1	390	130	WP_283209790.1	OBi1_02314	69.919	123	37	0	2	124	7	129	1.55e-54	176	RidA	1167
WP_283209795.1	3045174	Marinobacter sp. CHS3-4	859630	861072	-	NZ_JASGBJ010000002.1	GCF_030053415.1	1443	481	WP_283209795.1	OBi1_02319	72.956	477	128	1	13	488	4	480	0	694	aminoaldehyde dehydrogenase	4420
WP_283209794.1	3045174	Marinobacter sp. CHS3-4	858618	859619	-	NZ_JASGBJ010000002.1	GCF_030053415.1	1002	334	WP_152207978.1	OBi1_02318	71.037	328	95	0	1	328	1	328	2.3e-177	504	aminohydrolase	3408
WP_283209791.1	3045174	Marinobacter sp. CHS3-4	854446	855213	-	NZ_JASGBJ010000002.1	GCF_030053415.1	768	256	WP_152207975.1	OBi1_02315	59.16	262	100	1	1	262	1	255	1.03e-107	322	dehydrogenase	764
WP_283209792.1	3045174	Marinobacter sp. CHS3-4	855210	856940	-	NZ_JASGBJ010000002.1	GCF_030053415.1	1731	577	WP_135954514.1	OBi1_02316	65.432	567	192	1	13	575	7	573	0	741	hydroxylase	0
WP_283209793.1	3045174	Marinobacter sp. CHS3-4	856944	858566	-	NZ_JASGBJ010000002.1	GCF_030053415.1	1623	541	WP_152207977.1	OBi1_02317	78.269	520	112	1	8	526	2	521	0	818	permease	1734
WP_306152938.1	3046694	Roseovarius sp. MMSF_3281	45656	47107	-	NZ_JASHIM010000011.1	GCF_030733685.1	1452	484	WP_294620746.1	OBi1_02319	61.229	472	183	0	17	488	8	479	0	603	aminoaldehyde dehydrogenase	2599
WP_306152937.1	3046694	Roseovarius sp. MMSF_3281	44656	45651	-	NZ_JASHIM010000011.1	GCF_030733685.1	996	332	WP_154153833.1	OBi1_02318	58.282	326	134	2	8	332	5	329	3.04e-138	405	aminohydrolase	1599
WP_306152934.1	3046694	Roseovarius sp. MMSF_3281	40657	41301	-	NZ_JASHIM010000011.1	GCF_030733685.1	645	215	WP_306152934.1	SPO3188	47.442	215	107	4	1	210	1	214	1.92e-44	157	dehydrogenase	2400
WP_306152935.1	3046694	Roseovarius sp. MMSF_3281	41298	42992	-	NZ_JASHIM010000011.1	GCF_030733685.1	1695	565	WP_294620749.1	OBi1_02316	41.324	559	309	7	20	571	12	558	1.93e-124	388	hydroxylase	1759
WP_306152936.1	3046694	Roseovarius sp. MMSF_3281	43057	44613	-	NZ_JASHIM010000011.1	GCF_030733685.1	1557	519	WP_154153836.1	OBi1_02317	51.844	488	232	1	34	518	29	516	4.16e-165	488	permease	0
WP_306113560.1	2614913	Roseovarius sp. MMSF_3305	27595	29046	+	NZ_JASHIP010000003.1	GCF_030733645.1	1452	484	WP_299851295.1	OBi1_02319	61.017	472	184	0	17	488	8	479	0	603	aminoaldehyde dehydrogenase	2478
WP_306113561.1	2614913	Roseovarius sp. MMSF_3305	29043	30029	+	NZ_JASHIP010000003.1	GCF_030733645.1	987	329	WP_085891763.1	OBi1_02318	59.443	323	131	0	8	330	5	327	2.16e-142	415	aminohydrolase	1030
WP_306113563.1	2614913	Roseovarius sp. MMSF_3305	31767	32420	+	NZ_JASHIP010000003.1	GCF_030733645.1	654	218	WP_306113563.1	SPO3188	44.749	219	110	6	1	210	1	217	1.4e-40	147	dehydrogenase	1694
WP_306113562.1	2614913	Roseovarius sp. MMSF_3305	30073	31770	+	NZ_JASHIP010000003.1	GCF_030733645.1	1698	566	WP_306113562.1	OBi1_02316	40.853	563	320	6	12	570	5	558	3.88e-124	387	hydroxylase	0
WP_253029297.1	2609666	Halomonas sp. MMSF_3323	14629	16074	+	NZ_JASHIT010000058.1	GCF_030733595.1	1446	482	WP_045993661.1	OBi1_02319	82.917	480	82	0	9	488	2	481	0	833	aminoaldehyde dehydrogenase	2642
WP_204248966.1	2609666	Halomonas sp. MMSF_3323	16086	17090	+	NZ_JASHIT010000058.1	GCF_030733595.1	1005	335	WP_204248966.1	OBi1_02318	89.426	331	35	0	1	331	1	331	0	620	aminohydrolase	1185
WP_045993663.1	2745	Halomonas sp. MMSF_3323	20691	21506	+	NZ_JASHIT010000058.1	GCF_030733595.1	816	272	WP_045993663.1	OBi1_02315	81.919	271	40	1	1	262	1	271	4.46e-158	449	dehydrogenase	3420
WP_045993662.1	2609666	Halomonas sp. MMSF_3323	18904	20694	+	NZ_JASHIT010000058.1	GCF_030733595.1	1791	597	WP_240184251.1	OBi1_02316	78.644	590	125	1	1	589	1	590	0	943	hydroxylase	1633
WP_253029298.1	2609666	Halomonas sp. MMSF_3323	17271	18902	+	NZ_JASHIT010000058.1	GCF_030733595.1	1632	544	WP_222517106.1	OBi1_02317	85.444	529	72	2	2	526	11	538	0	907	permease	0
WP_306113560.1	2614913	Roseovarius sp. MMSF_3359	96055	97506	+	NZ_JASHJC010000003.1	GCF_030733385.1	1452	484	WP_299851295.1	OBi1_02319	61.017	472	184	0	17	488	8	479	0	603	aminoaldehyde dehydrogenase	2478
WP_306113561.1	2614913	Roseovarius sp. MMSF_3359	97503	98489	+	NZ_JASHJC010000003.1	GCF_030733385.1	987	329	WP_085891763.1	OBi1_02318	59.443	323	131	0	8	330	5	327	2.16e-142	415	aminohydrolase	1030
WP_306113563.1	2614913	Roseovarius sp. MMSF_3359	100227	100880	+	NZ_JASHJC010000003.1	GCF_030733385.1	654	218	WP_306113563.1	SPO3188	44.749	219	110	6	1	210	1	217	1.4e-40	147	dehydrogenase	1694
WP_306113562.1	2614913	Roseovarius sp. MMSF_3359	98533	100230	+	NZ_JASHJC010000003.1	GCF_030733385.1	1698	566	WP_306113562.1	OBi1_02316	40.853	563	320	6	12	570	5	558	3.88e-124	387	hydroxylase	0
WP_306141921.1	3046712	Roseibium sp. MMSF_3412	85384	86829	-	NZ_JASHJI010000003.1	GCF_030733265.1	1446	482	WP_299478856.1	OBi1_02319	60.632	475	187	0	14	488	3	477	0	593	aminoaldehyde dehydrogenase	977
WP_306141920.1	3046712	Roseibium sp. MMSF_3412	84407	85384	-	NZ_JASHJI010000003.1	GCF_030733265.1	978	326	WP_299478859.1	OBi1_02318	59.133	323	132	0	6	328	1	323	5.72e-141	411	aminohydrolase	0
WP_306141918.1	3046712	Roseibium sp. MMSF_3412	82102	82728	-	NZ_JASHJI010000003.1	GCF_030733265.1	627	209	WP_306141918.1	SPO3188	47.442	215	101	3	1	210	1	208	1.55e-47	165	dehydrogenase	2305
WP_306141919.1	3046712	Roseibium sp. MMSF_3412	82725	84365	-	NZ_JASHJI010000003.1	GCF_030733265.1	1641	547	WP_306141919.1	OBi1_02316	41.123	552	313	5	25	572	1	544	3.03e-117	369	hydroxylase	1682
WP_305988302.1	3046723	Roseibium sp. MMSF_3544	109354	110844	+	NZ_JASHKA010000019.1	GCF_030732845.1	1491	497	WP_305988302.1	OBi1_02319	60.51	471	186	0	18	488	22	492	0	597	aminoaldehyde dehydrogenase	1490
WP_305988291.1	3046723	Roseibium sp. MMSF_3544	110844	111821	+	NZ_JASHKA010000019.1	GCF_030732845.1	978	326	WP_305988291.1	OBi1_02318	60.494	324	128	0	6	329	1	324	4.76e-145	422	aminohydrolase	0
WP_305988293.1	3046723	Roseibium sp. MMSF_3544	113500	114126	+	NZ_JASHKA010000019.1	GCF_030732845.1	627	209	WP_305988293.1	SPO3188	47.619	210	108	2	1	210	1	208	1.15e-49	170	dehydrogenase	2656
WP_305988292.1	3046723	Roseibium sp. MMSF_3544	111818	113503	+	NZ_JASHKA010000019.1	GCF_030732845.1	1686	562	WP_305988292.1	OBi1_02316	40.901	577	305	8	10	570	1	557	1.33e-124	389	hydroxylase	974
WP_316780183.1	1631240	Sedimentitalea todarodis	38697	40148	-	NZ_JASMWN010000018.1	GCF_032595355.1	1452	484	WP_316780183.1	OBi1_02319	61.181	474	184	0	15	488	6	479	0	608	aminoaldehyde dehydrogenase	2595
WP_316780180.1	1631240	Sedimentitalea todarodis	37687	38700	-	NZ_JASMWN010000018.1	GCF_032595355.1	1014	338	WP_316780180.1	OBi1_02318	57.669	326	138	0	6	331	3	328	5.38e-141	412	aminohydrolase	1585
WP_316780170.1	1631240	Sedimentitalea todarodis	33647	34354	-	NZ_JASMWN010000018.1	GCF_032595355.1	708	236	WP_316780170.1	SPO3188	36.239	218	126	5	2	210	22	235	1.58e-21	99	dehydrogenase	2455
WP_316780172.1	1631240	Sedimentitalea todarodis	34351	36027	-	NZ_JASMWN010000018.1	GCF_032595355.1	1677	559	WP_316780172.1	OBi1_02316	42.599	554	310	5	7	555	3	553	1.58e-130	404	hydroxylase	1751
WP_316780175.1	1631240	Sedimentitalea todarodis	36102	37649	-	NZ_JASMWN010000018.1	GCF_032595355.1	1548	516	WP_316780175.1	OBi1_02317	50.102	489	239	3	34	518	27	514	8.22e-156	464	permease	0
WP_079401768.1	680	Vibrio campbellii	8040	8438	+	NZ_JATAAX010000078.1	GCF_036533435.1	399	133	WP_045149362.1	OBi1_02314	67.769	121	39	0	3	123	8	128	2.17e-53	174	RidA	2020
WP_331444294.1	680	Vibrio campbellii	8532	9992	+	NZ_JATAAX010000078.1	GCF_036533435.1	1461	487	WP_005375790.1	OBi1_02319	64.979	474	166	0	12	485	9	482	0	659	aminoaldehyde dehydrogenase	1528
WP_331444295.1	680	Vibrio campbellii	10060	11049	+	NZ_JATAAX010000078.1	GCF_036533435.1	990	330	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	0
WP_331444298.1	680	Vibrio campbellii	14659	15390	+	NZ_JATAAX010000078.1	GCF_036533435.1	732	244	WP_274291483.1	OBi1_02315	30.859	256	160	6	1	255	1	240	1.29e-12	76.6	dehydrogenase	4599
WP_331444297.1	680	Vibrio campbellii	12926	14662	+	NZ_JATAAX010000078.1	GCF_036533435.1	1737	579	WP_051117781.1	OBi1_02316	46.06	571	300	3	12	582	6	568	2.83e-171	509	hydroxylase	2866
WP_331444296.1	680	Vibrio campbellii	11160	12764	+	NZ_JATAAX010000078.1	GCF_036533435.1	1605	535	WP_045186583.1	OBi1_02317	50.096	521	254	3	2	522	20	534	6.49e-174	511	permease	1100
WP_331404737.1	696485	Vibrio owensii	50426	50824	+	NZ_JATABB010000005.1	GCF_036533635.1	399	133	WP_045149362.1	OBi1_02314	67.769	121	39	0	3	123	8	128	2.17e-53	174	RidA	2021
WP_331404738.1	696485	Vibrio owensii	50919	52379	+	NZ_JATABB010000005.1	GCF_036533635.1	1461	487	WP_005375790.1	OBi1_02319	64.979	474	166	0	12	485	9	482	0	659	aminoaldehyde dehydrogenase	1528
WP_005450172.1	662	Vibrio owensii	52447	53433	+	NZ_JATABB010000005.1	GCF_036533635.1	987	329	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	0
WP_331404740.1	696485	Vibrio owensii	57001	57732	+	NZ_JATABB010000005.1	GCF_036533635.1	732	244	WP_009696344.1	OBi1_02315	27.308	260	164	6	1	255	1	240	1.5e-11	73.6	dehydrogenase	4554
WP_331404739.1	696485	Vibrio owensii	55265	57004	+	NZ_JATABB010000005.1	GCF_036533635.1	1740	580	WP_123780292.1	OBi1_02316	45.936	566	293	7	12	574	6	561	6.48e-165	492	hydroxylase	2818
WP_020197257.1	662	Vibrio owensii	53548	55152	+	NZ_JATABB010000005.1	GCF_036533635.1	1605	535	WP_045186583.1	OBi1_02317	50.096	521	254	3	2	522	20	534	6.49e-174	511	permease	1101
WP_187993124.1	717610	Vibrio owensii	76304	76702	-	NZ_JATABK010000012.1	GCF_036533835.1	399	133	WP_045149362.1	OBi1_02314	67.769	121	39	0	3	123	8	128	2.17e-53	174	RidA	4328
WP_331420858.1	696485	Vibrio owensii	74749	76209	-	NZ_JATABK010000012.1	GCF_036533835.1	1461	487	WP_005375790.1	OBi1_02319	64.979	474	166	0	12	485	9	482	0	659	aminoaldehyde dehydrogenase	2773
WP_331420856.1	696485	Vibrio owensii	73695	74681	-	NZ_JATABK010000012.1	GCF_036533835.1	987	329	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	1719
WP_331421317.1	696485	Vibrio owensii	69396	70127	-	NZ_JATABK010000012.1	GCF_036533835.1	732	244	WP_009696344.1	OBi1_02315	27.308	260	164	6	1	255	1	240	1.5e-11	73.6	dehydrogenase	2580
WP_331439498.1	696485	Vibrio owensii	70124	71863	-	NZ_JATABK010000012.1	GCF_036533835.1	1740	580	WP_123780292.1	OBi1_02316	45.936	566	293	7	12	574	6	561	6.48e-165	492	hydroxylase	1852
WP_331420854.1	696485	Vibrio owensii	71976	73580	-	NZ_JATABK010000012.1	GCF_036533835.1	1605	535	WP_045186583.1	OBi1_02317	50.096	521	254	3	2	522	20	534	6.49e-174	511	permease	0
WP_331451068.1	680	Vibrio campbellii	1	681	+	NZ_JATABM010000145.1	GCF_036533895.1	681	227	WP_019275494.1	OBi1_02319	62.162	222	84	0	264	485	1	222	1.71e-102	316	aminoaldehyde dehydrogenase	1848
WP_331444295.1	680	Vibrio campbellii	749	1738	+	NZ_JATABM010000145.1	GCF_036533895.1	990	330	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	1100
WP_331444298.1	680	Vibrio campbellii	5348	6079	+	NZ_JATABM010000145.1	GCF_036533895.1	732	244	WP_274291483.1	OBi1_02315	30.859	256	160	6	1	255	1	240	1.29e-12	76.6	dehydrogenase	3499
WP_331444297.1	680	Vibrio campbellii	3615	5351	+	NZ_JATABM010000145.1	GCF_036533895.1	1737	579	WP_051117781.1	OBi1_02316	46.06	571	300	3	12	582	6	568	2.83e-171	509	hydroxylase	1766
WP_331444296.1	680	Vibrio campbellii	1849	3453	+	NZ_JATABM010000145.1	GCF_036533895.1	1605	535	WP_045186583.1	OBi1_02317	50.096	521	254	3	2	522	20	534	6.49e-174	511	permease	0
WP_079401768.1	680	Vibrio campbellii	46709	47107	+	NZ_JATABN010000032.1	GCF_036533875.1	399	133	WP_045149362.1	OBi1_02314	67.769	121	39	0	3	123	8	128	2.17e-53	174	RidA	2020
WP_331444294.1	680	Vibrio campbellii	47201	48661	+	NZ_JATABN010000032.1	GCF_036533875.1	1461	487	WP_005375790.1	OBi1_02319	64.979	474	166	0	12	485	9	482	0	659	aminoaldehyde dehydrogenase	1528
WP_331444295.1	680	Vibrio campbellii	48729	49718	+	NZ_JATABN010000032.1	GCF_036533875.1	990	330	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	0
WP_331444298.1	680	Vibrio campbellii	53328	54059	+	NZ_JATABN010000032.1	GCF_036533875.1	732	244	WP_274291483.1	OBi1_02315	30.859	256	160	6	1	255	1	240	1.29e-12	76.6	dehydrogenase	4599
WP_331444297.1	680	Vibrio campbellii	51595	53331	+	NZ_JATABN010000032.1	GCF_036533875.1	1737	579	WP_051117781.1	OBi1_02316	46.06	571	300	3	12	582	6	568	2.83e-171	509	hydroxylase	2866
WP_331444296.1	680	Vibrio campbellii	49829	51433	+	NZ_JATABN010000032.1	GCF_036533875.1	1605	535	WP_045186583.1	OBi1_02317	50.096	521	254	3	2	522	20	534	6.49e-174	511	permease	1100
WP_005375789.1	662	Vibrio alginolyticus	33826	34224	+	NZ_JAUALF010000002.1	GCF_030346935.1	399	133	WP_077649249.1	OBi1_02314	70.833	120	35	0	3	122	8	127	9.34e-56	180	RidA	2002
WP_047100933.1	662	Vibrio alginolyticus	34298	35758	+	NZ_JAUALF010000002.1	GCF_030346935.1	1461	487	WP_171330090.1	OBi1_02319	64.557	474	168	0	12	485	9	482	0	665	aminoaldehyde dehydrogenase	1530
WP_017634252.1	662	Vibrio alginolyticus	35828	36817	+	NZ_JAUALF010000002.1	GCF_030346935.1	990	330	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	0
WP_047100936.1	663	Vibrio alginolyticus	40363	41094	+	NZ_JAUALF010000002.1	GCF_030346935.1	732	244	WP_226420777.1	OBi1_02315	28.947	266	154	7	1	256	1	241	1.04e-10	71.2	dehydrogenase	4535
WP_047100935.1	662	Vibrio alginolyticus	38630	40366	+	NZ_JAUALF010000002.1	GCF_030346935.1	1737	579	WP_226420778.1	OBi1_02316	46.809	564	290	5	12	574	6	560	3.67e-175	518	hydroxylase	2802
WP_005375789.1	662	Vibrio alginolyticus	33826	34224	+	NZ_JAUALG010000002.1	GCF_030346975.1	399	133	WP_077649249.1	OBi1_02314	70.833	120	35	0	3	122	8	127	9.34e-56	180	RidA	2002
WP_047100933.1	662	Vibrio alginolyticus	34298	35758	+	NZ_JAUALG010000002.1	GCF_030346975.1	1461	487	WP_171330090.1	OBi1_02319	64.557	474	168	0	12	485	9	482	0	665	aminoaldehyde dehydrogenase	1530
WP_017634252.1	662	Vibrio alginolyticus	35828	36817	+	NZ_JAUALG010000002.1	GCF_030346975.1	990	330	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	0
WP_047100936.1	663	Vibrio alginolyticus	40363	41094	+	NZ_JAUALG010000002.1	GCF_030346975.1	732	244	WP_226420777.1	OBi1_02315	28.947	266	154	7	1	256	1	241	1.04e-10	71.2	dehydrogenase	4535
WP_047100935.1	662	Vibrio alginolyticus	38630	40366	+	NZ_JAUALG010000002.1	GCF_030346975.1	1737	579	WP_226420778.1	OBi1_02316	46.809	564	290	5	12	574	6	560	3.67e-175	518	hydroxylase	2802
WP_027311698.1	75684	Balneatrix alpica	26703	27095	+	NZ_JAUESS010000011.1	GCF_030733805.1	393	131	WP_027311698.1	OBi1_02314	64.463	121	43	0	1	121	1	121	1.13e-48	162	RidA	4116
WP_305857520.1	75684	Balneatrix alpica	22587	24032	+	NZ_JAUESS010000011.1	GCF_030733805.1	1446	482	WP_027311695.1	OBi1_02319	70.551	472	139	0	17	488	9	480	0	687	aminoaldehyde dehydrogenase	0
WP_305857521.1	75684	Balneatrix alpica	24042	25034	+	NZ_JAUESS010000011.1	GCF_030733805.1	993	331	WP_027311696.1	OBi1_02318	72.866	328	89	0	1	328	1	328	0	518	aminohydrolase	1455
WP_027311692.1	75684	Balneatrix alpica	18967	19719	-	NZ_JAUESS010000011.1	GCF_030733805.1	753	251	WP_027311692.1	OBi1_02315	27.344	256	177	3	1	255	1	248	1.64e-25	111	dehydrogenase	3620
