Protein	ncbi.taxid	Organism	Start	Stop	Strand	Nucleotide.Accession	Assembly	gene.length	protein.length	cluster.representative	query	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	protein.function	distance.to.min	superkingdom	phylum	class	order	family	genus	species
WP_306129486.1	3046706	Roseovarius sp. MMSF_3350	26582	27577	-	NZ_JASHIZ010000011.1	GCF_030733425.1	996	332	WP_306129486.1	OBi1_02318	58.307	319	133	0	8	326	5	323	8.53e-140	409	aminohydrolase	3374	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius	Roseovarius sp. MMSF_3350
WP_306129483.1	3046706	Roseovarius sp. MMSF_3350	22561	23211	-	NZ_JASHIZ010000011.1	GCF_030733425.1	651	217	WP_306129483.1	SPO3188	45	220	107	4	1	210	1	216	1.4e-40	147	dehydrogenase	647	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius	Roseovarius sp. MMSF_3350
WP_306129484.1	3046706	Roseovarius sp. MMSF_3350	23208	24899	-	NZ_JASHIZ010000011.1	GCF_030733425.1	1692	564	WP_222452818.1	OBi1_02316	43.684	570	307	6	12	577	4	563	5.35e-134	413	hydroxylase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius	Roseovarius sp. MMSF_3350
WP_306129485.1	3046706	Roseovarius sp. MMSF_3350	24969	26537	-	NZ_JASHIZ010000011.1	GCF_030733425.1	1569	523	WP_057794741.1	OBi1_02317	50.579	518	253	1	4	518	2	519	1.62e-168	497	permease	1761	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius	Roseovarius sp. MMSF_3350
WP_306113560.1	2614913	Roseovarius sp. MMSF_3359	96055	97506	+	NZ_JASHJC010000003.1	GCF_030733385.1	1452	484	WP_299851295.1	OBi1_02319	61.017	472	184	0	17	488	8	479	0	603	aminoaldehyde dehydrogenase	2478	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius	NA
WP_306113561.1	2614913	Roseovarius sp. MMSF_3359	97503	98489	+	NZ_JASHJC010000003.1	GCF_030733385.1	987	329	WP_085891763.1	OBi1_02318	59.443	323	131	0	8	330	5	327	2.16e-142	415	aminohydrolase	1030	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius	NA
WP_306113563.1	2614913	Roseovarius sp. MMSF_3359	100227	100880	+	NZ_JASHJC010000003.1	GCF_030733385.1	654	218	WP_306113563.1	SPO3188	44.749	219	110	6	1	210	1	217	1.4e-40	147	dehydrogenase	1694	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius	NA
WP_306113562.1	2614913	Roseovarius sp. MMSF_3359	98533	100230	+	NZ_JASHJC010000003.1	GCF_030733385.1	1698	566	WP_306113562.1	OBi1_02316	40.853	563	320	6	12	570	5	558	3.88e-124	387	hydroxylase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius	NA
WP_306006363.1	1852029	Aquicoccus porphyridii	16181	17632	+	NZ_JASHJG010000045.1	GCF_030733285.1	1452	484	WP_142085902.1	OBi1_02319	60.426	470	186	0	17	486	8	477	0	607	aminoaldehyde dehydrogenase	2473	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Aquicoccus	Aquicoccus porphyridii
WP_306006366.1	1852029	Aquicoccus porphyridii	20303	20947	+	NZ_JASHJG010000045.1	GCF_030733285.1	645	215	WP_111367533.1	SPO3188	32.618	233	99	9	1	210	17	214	1.88e-06	58.2	dehydrogenase	1649	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Aquicoccus	Aquicoccus porphyridii
WP_306006365.1	1852029	Aquicoccus porphyridii	18654	20306	+	NZ_JASHJG010000045.1	GCF_030733285.1	1653	551	WP_111367531.1	OBi1_02316	44.28	542	294	5	20	556	9	547	1.07e-132	409	hydroxylase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Aquicoccus	Aquicoccus porphyridii
WP_306141921.1	3046712	Roseibium sp. MMSF_3412	85384	86829	-	NZ_JASHJI010000003.1	GCF_030733265.1	1446	482	WP_299478856.1	OBi1_02319	60.632	475	187	0	14	488	3	477	0	593	aminoaldehyde dehydrogenase	977	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	Roseibium sp. MMSF_3412
WP_306141920.1	3046712	Roseibium sp. MMSF_3412	84407	85384	-	NZ_JASHJI010000003.1	GCF_030733265.1	978	326	WP_299478859.1	OBi1_02318	59.133	323	132	0	6	328	1	323	5.72e-141	411	aminohydrolase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	Roseibium sp. MMSF_3412
WP_306141918.1	3046712	Roseibium sp. MMSF_3412	82102	82728	-	NZ_JASHJI010000003.1	GCF_030733265.1	627	209	WP_306141918.1	SPO3188	47.442	215	101	3	1	210	1	208	1.55e-47	165	dehydrogenase	2305	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	Roseibium sp. MMSF_3412
WP_306141919.1	3046712	Roseibium sp. MMSF_3412	82725	84365	-	NZ_JASHJI010000003.1	GCF_030733265.1	1641	547	WP_306141919.1	OBi1_02316	41.123	552	313	5	25	572	1	544	3.03e-117	369	hydroxylase	1682	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	Roseibium sp. MMSF_3412
WP_306111621.1	2614913	Roseovarius sp. MMSF_3448	58477	59472	+	NZ_JASHJK010000021.1	GCF_030733245.1	996	332	WP_057794739.1	OBi1_02318	59.077	325	133	0	8	332	5	329	4.29e-142	414	aminohydrolase	1041	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius	NA
WP_306111622.1	2614913	Roseovarius sp. MMSF_3448	62829	63479	+	NZ_JASHJK010000021.1	GCF_030733245.1	651	217	WP_103764367.1	SPO3188	44.344	221	107	5	1	210	1	216	4.36e-41	149	dehydrogenase	3311	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius	NA
WP_103764366.1	74030	Roseovarius sp. MMSF_3448	61141	62832	+	NZ_JASHJK010000021.1	GCF_030733245.1	1692	564	WP_222452818.1	OBi1_02316	43.684	570	307	6	12	577	4	563	5.35e-134	413	hydroxylase	1623	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius	NA
WP_103764365.1	74030	Roseovarius sp. MMSF_3448	59518	61071	+	NZ_JASHJK010000021.1	GCF_030733245.1	1554	518	WP_057794741.1	OBi1_02317	50.579	518	253	1	4	518	2	519	1.62e-168	497	permease	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius	NA
WP_305988302.1	3046723	Roseibium sp. MMSF_3544	109354	110844	+	NZ_JASHKA010000019.1	GCF_030732845.1	1491	497	WP_305988302.1	OBi1_02319	60.51	471	186	0	18	488	22	492	0	597	aminoaldehyde dehydrogenase	1490	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	Roseibium sp. MMSF_3544
WP_305988291.1	3046723	Roseibium sp. MMSF_3544	110844	111821	+	NZ_JASHKA010000019.1	GCF_030732845.1	978	326	WP_305988291.1	OBi1_02318	60.494	324	128	0	6	329	1	324	4.76e-145	422	aminohydrolase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	Roseibium sp. MMSF_3544
WP_305988293.1	3046723	Roseibium sp. MMSF_3544	113500	114126	+	NZ_JASHKA010000019.1	GCF_030732845.1	627	209	WP_305988293.1	SPO3188	47.619	210	108	2	1	210	1	208	1.15e-49	170	dehydrogenase	2656	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	Roseibium sp. MMSF_3544
WP_305988292.1	3046723	Roseibium sp. MMSF_3544	111818	113503	+	NZ_JASHKA010000019.1	GCF_030732845.1	1686	562	WP_305988292.1	OBi1_02316	40.901	577	305	8	10	570	1	557	1.33e-124	389	hydroxylase	974	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	Roseibium sp. MMSF_3544
WP_237150185.1	1372	Planococcus sp. S3-L1	107316	108788	-	NZ_JASISN010000007.1	GCF_030063085.1	1473	491	WP_237150185.1	OBi1_02319	36.478	477	297	4	17	488	14	489	2.89e-86	283	aminoaldehyde dehydrogenase	0	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Planococcus	NA
WP_071154637.1	1372	Planococcus sp. S3-L1	109590	110612	-	NZ_JASISN010000007.1	GCF_030063085.1	1023	341	WP_071154637.1	OBi1_02318	48.012	327	169	1	3	329	6	331	9.8e-113	340	aminohydrolase	2274	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Planococcus	NA
WP_071154638.1	1372	Planococcus sp. S3-L1	110609	112327	-	NZ_JASISN010000007.1	GCF_030063085.1	1719	573	WP_149457089.1	OBi1_02316	44.17	566	294	6	19	573	12	566	5.54e-157	472	hydroxylase	3293	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Planococcus	NA
WP_283478006.1	3046200	Planococcus sp. S3-L1	104367	105956	-	NZ_JASISN010000007.1	GCF_030063085.1	1590	530	WP_058386344.1	OBi1_02317	46.705	516	265	4	25	533	9	521	7.25e-145	437	permease	2949	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus sp. S3-L1
WP_283460982.1	3046202	Arthrobacter sp. H35-D1	28351	29832	+	NZ_JASISP010000013.1	GCF_030063185.1	1482	494	WP_283460982.1	OBi1_02319	36.626	486	302	6	5	487	3	485	1.44e-88	290	aminoaldehyde dehydrogenase	0	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. H35-D1
WP_283460986.1	3046202	Arthrobacter sp. H35-D1	31555	32586	+	NZ_JASISP010000013.1	GCF_030063185.1	1032	344	WP_283460986.1	OBi1_02318	40.248	323	186	3	8	330	28	343	2.34e-83	266	aminohydrolase	3204	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. H35-D1
WP_283460984.1	3046202	Arthrobacter sp. H35-D1	29829	31562	+	NZ_JASISP010000013.1	GCF_030063185.1	1734	578	WP_283460984.1	OBi1_02316	35.395	582	343	9	10	574	6	571	3.72e-99	323	hydroxylase	1478	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. H35-D1
WP_283460978.1	3046202	Arthrobacter sp. H35-D1	25721	27301	+	NZ_JASISP010000013.1	GCF_030063185.1	1581	527	WP_283460978.1	OBi1_02317	47.714	503	258	3	25	526	19	517	2.03e-143	433	permease	2630	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. H35-D1
WP_283499010.1	3046306	Cryobacterium sp. PH31-O1	83653	85215	+	NZ_JASITB010000001.1	GCF_030063455.1	1563	521	WP_283499010.1	OBi1_02319	37.553	474	289	6	17	487	45	514	4.86e-86	284	aminoaldehyde dehydrogenase	3281	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Cryobacterium	Cryobacterium sp. PH31-O1
WP_283499012.1	3046306	Cryobacterium sp. PH31-O1	86934	87926	+	NZ_JASITB010000001.1	GCF_030063455.1	993	331	WP_283499012.1	OBi1_02318	39.875	321	187	2	1	321	3	317	2.84e-80	257	aminohydrolase	0	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Cryobacterium	Cryobacterium sp. PH31-O1
WP_283499011.1	3046306	Cryobacterium sp. PH31-O1	85219	86937	+	NZ_JASITB010000001.1	GCF_030063455.1	1719	573	WP_283499011.1	OBi1_02316	34.392	567	349	8	19	573	12	567	2.21e-99	323	hydroxylase	1715	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Cryobacterium	Cryobacterium sp. PH31-O1
WP_319220946.1	78556	Moritella sp.	5680	6075	-	NZ_JASJHF010000062.1	GCF_033791185.1	396	132	WP_319220946.1	OBi1_02314	71.774	124	35	0	3	126	8	131	4.51e-59	188	RidA	2642	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella	Moritella sp.
WP_319220942.1	78556	Moritella sp.	4071	5555	-	NZ_JASJHF010000062.1	GCF_033791185.1	1485	495	WP_293228070.1	OBi1_02319	62.805	492	174	1	6	488	2	493	0	652	aminoaldehyde dehydrogenase	1033	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella	Moritella sp.
WP_319220941.1	78556	Moritella sp.	3038	4027	-	NZ_JASJHF010000062.1	GCF_033791185.1	990	330	WP_293228072.1	OBi1_02318	62.963	324	120	0	1	324	1	324	2.72e-153	443	aminohydrolase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella	Moritella sp.
WP_319220939.1	78556	Moritella sp.	1	1199	-	NZ_JASJHF010000062.1	GCF_033791185.1	1199	399.666666666667	WP_319220939.1	OBi1_02316	46.907	388	205	1	19	406	13	399	2.62e-114	356	hydroxylase	3037	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella	Moritella sp.
WP_319220940.1	78556	Moritella sp.	1311	2939	-	NZ_JASJHF010000062.1	GCF_033791185.1	1629	543	WP_017220580.1	OBi1_02317	49.18	488	245	1	35	522	52	536	1.01e-167	496	permease	1727	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella	Moritella sp.
WP_283988350.1	380021	Pseudomonas protegens	11528	12979	-	NZ_JASKHY010000029.1	GCF_030124285.1	1452	484	WP_011059165.1	OBi1_02319	65.684	475	163	0	14	488	5	479	0	640	aminoaldehyde dehydrogenase	4423	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens
WP_011059161.1	286	Pseudomonas protegens	6471	7124	-	NZ_JASKHY010000029.1	GCF_030124285.1	654	218	WP_011059161.1	SPO3188	43.231	229	99	7	1	210	1	217	4.08e-39	144	dehydrogenase	634	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
WP_283988344.1	380021	Pseudomonas protegens	7105	8799	-	NZ_JASKHY010000029.1	GCF_030124285.1	1695	565	WP_011059162.1	OBi1_02316	44.107	560	297	6	17	570	1	550	1.05e-141	432	hydroxylase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens
WP_283988346.1	380021	Pseudomonas protegens	8800	10359	-	NZ_JASKHY010000029.1	GCF_030124285.1	1560	520	WP_011059163.1	OBi1_02317	43.8	500	273	5	25	522	25	518	1e-126	390	permease	1695	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens
WP_316780183.1	1631240	Sedimentitalea todarodis	38697	40148	-	NZ_JASMWN010000018.1	GCF_032595355.1	1452	484	WP_316780183.1	OBi1_02319	61.181	474	184	0	15	488	6	479	0	608	aminoaldehyde dehydrogenase	2595	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Sedimentitalea	Sedimentitalea todarodis
WP_316780180.1	1631240	Sedimentitalea todarodis	37687	38700	-	NZ_JASMWN010000018.1	GCF_032595355.1	1014	338	WP_316780180.1	OBi1_02318	57.669	326	138	0	6	331	3	328	5.38e-141	412	aminohydrolase	1585	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Sedimentitalea	Sedimentitalea todarodis
WP_316780170.1	1631240	Sedimentitalea todarodis	33647	34354	-	NZ_JASMWN010000018.1	GCF_032595355.1	708	236	WP_316780170.1	SPO3188	36.239	218	126	5	2	210	22	235	1.58e-21	99	dehydrogenase	2455	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Sedimentitalea	Sedimentitalea todarodis
WP_316780172.1	1631240	Sedimentitalea todarodis	34351	36027	-	NZ_JASMWN010000018.1	GCF_032595355.1	1677	559	WP_316780172.1	OBi1_02316	42.599	554	310	5	7	555	3	553	1.58e-130	404	hydroxylase	1751	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Sedimentitalea	Sedimentitalea todarodis
WP_316780175.1	1631240	Sedimentitalea todarodis	36102	37649	-	NZ_JASMWN010000018.1	GCF_032595355.1	1548	516	WP_316780175.1	OBi1_02317	50.102	489	239	3	34	518	27	514	8.22e-156	464	permease	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Sedimentitalea	Sedimentitalea todarodis
WP_031856157.1	670	Vibrio parahaemolyticus	202673	203071	+	NZ_JASSJY010000007.1	GCF_030236635.1	399	133	WP_077649249.1	OBi1_02314	70.833	120	35	0	3	122	8	127	9.34e-56	180	RidA	3103	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
WP_025499707.1	670	Vibrio parahaemolyticus	204677	205666	+	NZ_JASSJY010000007.1	GCF_030236635.1	990	330	WP_146490165.1	OBi1_02318	62.733	322	120	0	1	322	1	322	2.76e-153	443	aminohydrolase	1099	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
WP_025767672.1	662	Vibrio parahaemolyticus	209212	209943	+	NZ_JASSJY010000007.1	GCF_030236635.1	732	244	WP_226420777.1	OBi1_02315	28.947	266	154	7	1	256	1	241	1.04e-10	71.2	dehydrogenase	3436	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA
WP_031856155.1	670	Vibrio parahaemolyticus	207479	209215	+	NZ_JASSJY010000007.1	GCF_030236635.1	1737	579	WP_226420778.1	OBi1_02316	46.809	564	290	5	12	574	6	560	3.67e-175	518	hydroxylase	1703	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
WP_031856156.1	670	Vibrio parahaemolyticus	205776	207377	+	NZ_JASSJY010000007.1	GCF_030236635.1	1602	534	WP_025524535.1	OBi1_02317	50.307	489	240	1	34	522	48	533	7.13e-167	493	permease	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
WP_136938568.1	204286	Cobetia sp. LC6	80864	81247	-	NZ_JASSPL010000015.1	GCF_030264805.1	384	128	WP_141391999.1	OBi1_02314	95.238	126	6	0	1	126	1	126	2.46e-82	247	RidA	1268	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Cobetia	NA
WP_285461821.1	3050947	Cobetia sp. LC6	86680	88146	-	NZ_JASSPL010000015.1	GCF_030264805.1	1467	489	WP_285461821.1	OBi1_02319	96.516	488	17	0	1	488	1	488	0	976	aminoaldehyde dehydrogenase	4548	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Cobetia	Cobetia sp. LC6
WP_285461820.1	3050947	Cobetia sp. LC6	85669	86670	-	NZ_JASSPL010000015.1	GCF_030264805.1	1002	334	WP_253060830.1	OBi1_02318	96.697	333	11	0	1	333	1	333	0	675	aminohydrolase	3537	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Cobetia	Cobetia sp. LC6
WP_285461818.1	3050947	Cobetia sp. LC6	82132	83931	-	NZ_JASSPL010000015.1	GCF_030264805.1	1800	600	WP_197738676.1	OBi1_02316	97.997	599	12	0	1	599	1	599	0	1208	hydroxylase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Cobetia	Cobetia sp. LC6
WP_311945053.1	3031727	Halomonas piscis	15349	16827	+	NZ_JASSPS010000014.1	GCF_031935665.1	1479	493	WP_311945053.1	OBi1_02319	78.316	475	103	0	14	488	17	491	0	790	aminoaldehyde dehydrogenase	2557	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas piscis
WP_311945061.1	3031727	Halomonas piscis	19675	20448	+	NZ_JASSPS010000014.1	GCF_031935665.1	774	258	WP_311954802.1	OBi1_02315	72.727	264	63	2	1	262	1	257	1.22e-127	372	dehydrogenase	1769	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas piscis
WP_311945059.1	3031727	Halomonas piscis	17906	19678	+	NZ_JASSPS010000014.1	GCF_031935665.1	1773	591	WP_311948756.1	OBi1_02316	72.279	588	161	1	9	596	4	589	0	865	hydroxylase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas piscis
WP_303288545.1	3050452	Marinobacter sp. SS8-8	17210	17587	+	NZ_JASSVN010000022.1	GCF_030540945.1	378	126	WP_064229108.1	OBi1_02314	73.554	121	32	0	2	122	7	127	2.31e-58	186	RidA	4147	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	Marinobacter sp. SS8-8
WP_303288505.1	3050452	Marinobacter sp. SS8-8	12024	13025	+	NZ_JASSVN010000022.1	GCF_030540945.1	1002	334	WP_201257887.1	OBi1_02318	75.078	321	80	0	1	321	1	321	0	520	aminohydrolase	1039	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	Marinobacter sp. SS8-8
WP_303288507.1	3050452	Marinobacter sp. SS8-8	14686	16416	+	NZ_JASSVN010000022.1	GCF_030540945.1	1731	577	WP_303288507.1	OBi1_02316	63.766	563	200	1	17	575	11	573	0	736	hydroxylase	1623	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	Marinobacter sp. SS8-8
WP_303288506.1	3050452	Marinobacter sp. SS8-8	13063	14682	+	NZ_JASSVN010000022.1	GCF_030540945.1	1620	540	WP_152207977.1	OBi1_02317	78.269	520	112	1	8	526	2	521	0	818	permease	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	Marinobacter sp. SS8-8
WP_005375789.1	662	Vibrio alginolyticus	1030899	1031297	-	NZ_JASTKV010000028.1	GCF_030252615.1	399	133	WP_077649249.1	OBi1_02314	70.833	120	35	0	3	122	8	127	9.34e-56	180	RidA	6870	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA
WP_053303711.1	662	Vibrio alginolyticus	1028306	1029295	-	NZ_JASTKV010000028.1	GCF_030252615.1	990	330	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	4277	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA
WP_213906889.1	662	Vibrio alginolyticus	1024029	1024760	-	NZ_JASTKV010000028.1	GCF_030252615.1	732	244	WP_226420777.1	OBi1_02315	28.947	266	154	7	1	256	1	241	1.04e-10	71.2	dehydrogenase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA
WP_213906890.1	662	Vibrio alginolyticus	1024757	1026493	-	NZ_JASTKV010000028.1	GCF_030252615.1	1737	579	WP_226420778.1	OBi1_02316	46.809	564	290	5	12	574	6	560	3.67e-175	518	hydroxylase	728	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA
WP_004741170.1	662	Vibrio sp. TMPB1044	315048	315446	-	NZ_JASVDZ010000023.1	GCF_030285395.1	399	133	WP_150896303.1	OBi1_02314	70	120	36	0	3	122	8	127	6.24e-55	177	RidA	2865	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA
WP_285954672.1	3051822	Vibrio sp. TMPB1044	313388	314848	-	NZ_JASVDZ010000023.1	GCF_030285395.1	1461	487	WP_171330090.1	OBi1_02319	64.557	474	168	0	12	485	9	482	0	665	aminoaldehyde dehydrogenase	1205	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio sp. TMPB1044
WP_285954597.1	3051822	Vibrio sp. TMPB1044	312183	313178	-	NZ_JASVDZ010000023.1	GCF_030285395.1	996	332	WP_017051352.1	OBi1_02318	61.42	324	125	0	1	324	1	324	1.33e-153	444	aminohydrolase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio sp. TMPB1044
WP_285954596.1	662	Vibrio sp. TMPB1044	310345	311952	-	NZ_JASVDZ010000023.1	GCF_030285395.1	1608	536	WP_261839877.1	OBi1_02317	49.143	525	258	4	3	522	10	530	1.62e-178	523	permease	1838	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA
WP_079401768.1	680	Vibrio campbellii	8040	8438	+	NZ_JATAAX010000078.1	GCF_036533435.1	399	133	WP_045149362.1	OBi1_02314	67.769	121	39	0	3	123	8	128	2.17e-53	174	RidA	2020	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio campbellii
WP_331444294.1	680	Vibrio campbellii	8532	9992	+	NZ_JATAAX010000078.1	GCF_036533435.1	1461	487	WP_005375790.1	OBi1_02319	64.979	474	166	0	12	485	9	482	0	659	aminoaldehyde dehydrogenase	1528	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio campbellii
WP_331444295.1	680	Vibrio campbellii	10060	11049	+	NZ_JATAAX010000078.1	GCF_036533435.1	990	330	WP_005595776.1	OBi1_02318	61.42	324	125	0	1	324	1	324	5.52e-153	442	aminohydrolase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio campbellii
WP_331444298.1	680	Vibrio campbellii	14659	15390	+	NZ_JATAAX010000078.1	GCF_036533435.1	732	244	WP_274291483.1	OBi1_02315	30.859	256	160	6	1	255	1	240	1.29e-12	76.6	dehydrogenase	4599	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio campbellii
WP_331444297.1	680	Vibrio campbellii	12926	14662	+	NZ_JATAAX010000078.1	GCF_036533435.1	1737	579	WP_051117781.1	OBi1_02316	46.06	571	300	3	12	582	6	568	2.83e-171	509	hydroxylase	2866	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio campbellii
WP_331444296.1	680	Vibrio campbellii	11160	12764	+	NZ_JATAAX010000078.1	GCF_036533435.1	1605	535	WP_045186583.1	OBi1_02317	50.096	521	254	3	2	522	20	534	6.49e-174	511	permease	1100	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio campbellii
