Assembly_Accession,Accession,Genome_Size_bp
GCF_964216565.1,GCF_964216565.1,4351018
GCF_963675325.2,GCF_963675325.2,4435247
GCF_964276075.1,GCF_964276075.1,4577648
GCF_965118505.1,GCF_965118505.1,4456388
GCF_965118525.1,GCF_965118525.1,4565602
GCF_965119175.1,GCF_965119175.1,4686147
GCF_965119195.1,GCF_965119195.1,4515374
GCF_965135965.1,GCF_965135965.1,5476539
GCF_965136465.1,GCF_965136465.1,5109070
GCF_965138085.1,GCF_965138085.1,3368599
GCF_965138405.1,GCF_965138405.1,4441311
GCF_965138485.1,GCF_965138485.1,4127096
GCF_965138815.1,GCF_965138815.1,3526076
GCF_965138685.1,GCF_965138685.1,4427875
GCF_965139295.1,GCF_965139295.1,3653016
GCF_965183865.1,GCF_965183865.1,2872692
GCF_965219155.1,GCF_965219155.1,4289710
GCF_000153025.1,GCF_000153025.1,5153226
GCF_000153345.1,GCF_000153345.1,3924755
GCF_000153425.1,GCF_000153425.1,6186325
GCF_000153325.1,GCF_000153325.1,4992772
GCF_000152625.1,GCF_000152625.1,3676244
GCF_000152965.1,GCF_000152965.1,4674070
GCF_000152845.1,GCF_000152845.1,4770736
GCF_000153505.1,GCF_000153505.1,5257379
GCF_000153005.1,GCF_000153005.1,4984034
GCF_001435295.1,GCF_001435295.1,3514998
GCF_001435845.1,GCF_001435845.1,3282856
GCF_000736435.1,GCF_000736435.1,10118052
GCF_000772105.1,GCF_000772105.1,5540337
GCF_000770115.1,GCF_000770115.1,5881490
GCF_000772065.1,GCF_000772065.1,6037824
GCF_000495455.2,GCF_000495455.2,6382434
GCF_001456255.1,GCF_001456255.1,5175153
GCF_000961515.1,GCF_000961515.1,9058983
GCF_002381305.1,GCF_002381305.1,4463194
GCF_002888685.1,GCF_002888685.1,4237605
GCF_002892225.1,GCF_002892225.1,4648923
GCF_002892025.1,GCF_002892025.1,4479935
GCF_002892205.1,GCF_002892205.1,4320988
GCF_002891985.1,GCF_002891985.1,4124503
GCF_002891965.1,GCF_002891965.1,4268701
GCF_002381325.1,GCF_002381325.1,4541872
GCF_002412025.1,GCF_002412025.1,4239045
GCF_002892185.1,GCF_002892185.1,4248079
GCF_002891905.1,GCF_002891905.1,4075118
GCF_002892045.1,GCF_002892045.1,4481611
GCF_002892005.1,GCF_002892005.1,4021447
GCF_002381285.1,GCF_002381285.1,4595280
GCF_002407245.1,GCF_002407245.1,4129511
GCF_002892245.1,GCF_002892245.1,4239045
GCF_002891665.1,GCF_002891665.1,4398636
GCF_002892065.1,GCF_002892065.1,4777546
GCF_002891925.1,GCF_002891925.1,4374969
GCF_002892085.1,GCF_002892085.1,4844543
GCF_002891945.1,GCF_002891945.1,4429187
GCF_002892165.1,GCF_002892165.1,4103784
GCF_002892265.1,GCF_002892265.1,4109120
GCF_002892125.1,GCF_002892125.1,4479933
GCF_002892145.1,GCF_002892145.1,4695825
GCF_002412045.1,GCF_002412045.1,4382816
GCF_002393525.1,GCF_002393525.1,4610090
GCF_002888715.1,GCF_002888715.1,4166832
GCF_000498395.2,GCF_000498395.2,6621848
GCF_001465295.1,GCF_001465295.1,4147593
GCF_001685435.2,GCF_001685435.2,2776927
GCF_001636035.1,GCF_001636035.1,5289960
GCF_001043175.1,GCF_001043175.1,3998597
GCF_001655295.1,GCF_001655295.1,6178825
GCF_002795845.1,GCF_002795845.1,3660060
GCF_001266795.1,GCF_001266795.1,4768422
GCF_001593285.1,GCF_001593285.1,3366617
GCF_001593305.1,GCF_001593305.1,3519144
GCF_002006545.1,GCF_002006545.1,7032394
GCF_001469735.1,GCF_001469735.1,5724939
GCF_001465835.2,GCF_001465835.2,3485580
GCF_002953395.1,GCF_002953395.1,5426154
GCF_001558435.2,GCF_001558435.2,6038929
GCF_002953535.1,GCF_002953535.1,5268677
GCF_002953975.1,GCF_002953975.1,5178268
GCF_002953515.1,GCF_002953515.1,5446027
GCF_002953355.1,GCF_002953355.1,5131801
GCF_002005305.1,GCF_002005305.1,6353406
GCF_001661075.1,GCF_001661075.1,6823539
GCF_002081995.1,GCF_002081995.1,3362333
GCF_002082015.1,GCF_002082015.1,3412428
GCF_000226035.2,GCF_000226035.2,6377271
GCF_001651805.1,GCF_001651805.1,5191608
GCF_002163755.1,GCF_002163755.1,5178103
GCF_000271965.2,GCF_000271965.2,6077201
GCF_001708505.1,GCF_001708505.1,6256697
GCF_001767335.1,GCF_001767335.1,5846746
GCF_001679745.1,GCF_001679745.1,5406094
GCF_001685465.1,GCF_001685465.1,4926076
GCF_001680025.1,GCF_001680025.1,5168686
GCF_001888185.1,GCF_001888185.1,4207221
GCF_001687805.1,GCF_001687805.1,4802851
GCF_001713395.1,GCF_001713395.1,6626583
GCF_001687545.1,GCF_001687545.1,2591679
GCF_001693615.1,GCF_001693615.1,5490011
GCF_000346225.2,GCF_000346225.2,5018820
GCF_002119505.2,GCF_002119505.2,5361115
GCF_003613035.1,GCF_003613035.1,5644206
GCF_002149105.1,GCF_002149105.1,5674090
GCF_002119545.1,GCF_002119545.1,5666255
GCF_003613065.1,GCF_003613065.1,5638198
GCF_002119565.1,GCF_002119565.1,5671999
GCF_002119585.1,GCF_002119585.1,5389178
GCF_002149085.1,GCF_002149085.1,5655141
GCF_002149065.1,GCF_002149065.1,5362829
GCF_002214395.1,GCF_002214395.1,5277859
GCF_001908835.1,GCF_001908835.1,3147211
GCF_002215215.1,GCF_002215215.1,7783862
GCF_001908435.2,GCF_001908435.2,6070846
GCF_001981245.1,GCF_001981245.1,3453497
GCF_001969325.1,GCF_001969325.1,6195978
GCF_001969345.1,GCF_001969345.1,4291376
GCF_002009235.1,GCF_002009235.1,3495892
GCF_001991055.1,GCF_001991055.1,5634111
GCF_004328665.1,GCF_004328665.1,3905249
GCF_002021755.1,GCF_002021755.1,5890205
GCF_003085735.1,GCF_003085735.1,5404824
GCF_002140055.1,GCF_002140055.1,6371321
GCF_002073635.2,GCF_002073635.2,4829607
GCF_002080415.1,GCF_002080415.1,4381426
GCF_002381385.1,GCF_002381385.1,4364372
GCF_002381365.1,GCF_002381365.1,4349350
GCF_002142655.1,GCF_002142655.1,6124368
GCF_002155145.1,GCF_002155145.1,3584631
GCF_002157205.1,GCF_002157205.1,3667185
GCF_002157895.1,GCF_002157895.1,3508860
GCF_002549795.1,GCF_002549795.1,4053030
GCF_002208765.2,GCF_002208765.2,3108645
GCF_002208745.2,GCF_002208745.2,7075815
GCF_002211785.1,GCF_002211785.1,2197430
GCF_007833495.1,GCF_007833495.1,6368486
GCF_003671955.1,GCF_003671955.1,6011680
GCF_003326015.1,GCF_003326015.1,1689404
GCF_008330565.1,GCF_008330565.1,6989382
GCF_024449095.1,GCF_024449095.1,5023560
GCF_001870665.2,GCF_001870665.2,3899419
GCF_002850295.1,GCF_002850295.1,6185822
GCF_002887615.1,GCF_002887615.1,5989523
GCF_002887655.1,GCF_002887655.1,6261380
GCF_003352065.1,GCF_003352065.1,4190786
GCF_003352085.1,GCF_003352085.1,5176795
GCF_002893865.1,GCF_002893865.1,5821717
GCF_002902905.1,GCF_002902905.1,6648943
GCF_002906455.1,GCF_002906455.1,6171067
GCF_002906475.1,GCF_002906475.1,5425575
GCF_002953115.1,GCF_002953115.1,6297253
GCF_002948105.1,GCF_002948105.1,6172256
GCF_013390345.1,GCF_013390345.1,9059500
GCF_003228315.1,GCF_003228315.1,6845198
GCF_003209315.1,GCF_003209315.1,2895311
GCF_003312585.1,GCF_003312585.1,5217024
GCF_003391375.1,GCF_003391375.1,5784972
GCF_003443535.1,GCF_003443535.1,4405563
GCF_003443575.1,GCF_003443575.1,4188145
GCF_003443555.1,GCF_003443555.1,4160913
GCF_003443595.1,GCF_003443595.1,4038237
GCF_008807695.1,GCF_008807695.1,7085242
GCF_008807715.1,GCF_008807715.1,7080416
GCF_008807675.1,GCF_008807675.1,7087572
GCF_003626975.1,GCF_003626975.1,5912748
GCF_003667845.1,GCF_003667845.1,4456326
GCF_003691485.1,GCF_003691485.1,5743155
GCF_003691505.1,GCF_003691505.1,6424315
GCF_003691545.1,GCF_003691545.1,6418562
GCF_004006175.1,GCF_004006175.1,5080916
GCF_026651645.1,GCF_026651645.1,5225702
GCF_003726935.1,GCF_003726935.1,5976027
GCF_003942025.1,GCF_003942025.1,4760779
GCF_009883895.1,GCF_009883895.1,5456849
GCF_009762325.1,GCF_009762325.1,3934770
GCF_003952405.1,GCF_003952405.1,6700763
GCF_003952425.1,GCF_003952425.1,7372807
GCF_003952545.1,GCF_003952545.1,7168230
GCF_006094435.1,GCF_006094435.1,7221214
GCF_004123675.1,GCF_004123675.1,5036933
GCF_009665315.1,GCF_009665315.1,5751647
GCF_009665435.1,GCF_009665435.1,5137878
GCF_025985505.1,GCF_025985505.1,6188267
GCF_004524855.1,GCF_004524855.1,10394431
GCF_004535885.1,GCF_004535885.1,5137756
GCF_005144905.1,GCF_005144905.1,5074401
GCF_006740765.1,GCF_006740765.1,4380105
GCF_006517275.1,GCF_006517275.1,6186799
GCF_007197555.1,GCF_007197555.1,6449204
GCF_005937845.2,GCF_005937845.2,6316887
GCF_007954585.1,GCF_007954585.1,3781193
GCF_011801435.1,GCF_011801435.1,5246686
GCF_009745915.1,GCF_009745915.1,7075587
GCF_008807375.1,GCF_008807375.1,6056953
GCF_014076515.1,GCF_014076515.1,6065162
GCF_008630635.1,GCF_008630635.1,3561992
GCF_008931805.1,GCF_008931805.1,4760425
GCF_008824165.1,GCF_008824165.1,7351888
GCF_009184745.1,GCF_009184745.1,6005493
GCF_009363415.1,GCF_009363415.1,4501013
GCF_009363455.1,GCF_009363455.1,5880604
GCF_009363615.1,GCF_009363615.1,4632958
GCF_009363715.1,GCF_009363715.1,4560251
GCF_013305625.2,GCF_013305625.2,6802437
GCF_009601765.2,GCF_009601765.2,3512181
GCF_001310575.2,GCF_001310575.2,6268213
GCF_009650135.1,GCF_009650135.1,2346037
GCF_009664835.1,GCF_009664835.1,4832009
GCF_009676865.1,GCF_009676865.1,5877726
GCF_009708195.1,GCF_009708195.1,5879168
GCF_009763085.1,GCF_009763085.1,5418945
GCF_009763025.1,GCF_009763025.1,5128087
GCF_009763745.1,GCF_009763745.1,5226922
GCF_009763845.1,GCF_009763845.1,5344305
GCF_014217705.1,GCF_014217705.1,6055976
GCF_041879055.1,GCF_041879055.1,6295494
GCF_041879285.1,GCF_041879285.1,6301276
GCF_041879295.1,GCF_041879295.1,6050864
GCF_018141045.1,GCF_018141045.1,6992587
GCF_011212705.1,GCF_011212705.1,5634694
GCF_011009015.1,GCF_011009015.1,6687090
GCF_011493005.1,GCF_011493005.1,8848153
GCF_011039955.1,GCF_011039955.1,9323419
GCF_018448495.1,GCF_018448495.1,3489995
GCF_024442155.1,GCF_024442155.1,5500562
GCF_024442175.1,GCF_024442175.1,5258330
GCF_024442195.1,GCF_024442195.1,5926049
GCF_024442215.1,GCF_024442215.1,5422170
GCF_024442235.1,GCF_024442235.1,5532342
GCF_012044895.1,GCF_012044895.1,3972634
GCF_001630725.2,GCF_001630725.2,6656695
GCF_012274965.1,GCF_012274965.1,5258575
GCF_017794985.1,GCF_017794985.1,4272196
GCF_012647205.1,GCF_012647205.1,6690075
GCF_016903635.1,GCF_016903635.1,6847609
GCF_013154935.1,GCF_013154935.1,5445859
GCF_019355435.1,GCF_019355435.1,6181929
GCF_013368735.1,GCF_013368735.1,5623485
GCF_017923085.1,GCF_017923085.1,6945301
GCF_017930355.1,GCF_017930355.1,6947395
GCF_017923175.1,GCF_017923175.1,6950241
GCF_017923275.1,GCF_017923275.1,7019676
GCF_017923375.1,GCF_017923375.1,6868919
GCF_017927795.1,GCF_017927795.1,6868917
GCF_018219415.1,GCF_018219415.1,5037375
GCF_018219435.1,GCF_018219435.1,5097422
GCF_018219455.1,GCF_018219455.1,4991674
GCF_018219155.1,GCF_018219155.1,4731068
GCF_013388395.1,GCF_013388395.1,6371434
GCF_013425825.1,GCF_013425825.1,6499247
GCF_017798205.1,GCF_017798205.1,3252335
GCF_014250155.1,GCF_014250155.1,6607828
GCF_014274185.1,GCF_014274185.1,5263785
GCF_016920955.1,GCF_016920955.1,5180039
GCF_014805825.1,GCF_014805825.1,4490436
GCF_014843375.1,GCF_014843375.1,7367353
GCF_014883875.1,GCF_014883875.1,5851681
GCF_019904195.1,GCF_019904195.1,6188185
GCF_026428315.1,GCF_026428315.1,5702045
GCF_015654285.1,GCF_015654285.1,5558698
GCF_046042685.1,GCF_046042685.1,8018220
GCF_023206035.1,GCF_023206035.1,5129412
GCF_019904295.1,GCF_019904295.1,4602224
GCF_028553765.1,GCF_028553765.1,3642172
GCF_028553785.1,GCF_028553785.1,3723810
GCF_023716845.1,GCF_023716845.1,5625376
GCF_022354785.1,GCF_022354785.1,6420499
GCF_016812015.1,GCF_016812015.1,5302819
GCF_017068375.1,GCF_017068375.1,10909875
GCF_017068395.1,GCF_017068395.1,9866560
GCF_017161465.1,GCF_017161465.1,5114391
GCF_023650755.1,GCF_023650755.1,5240591
GCF_023716525.1,GCF_023716525.1,5366162
GCF_023716545.1,GCF_023716545.1,5023509
GCF_023716605.1,GCF_023716605.1,6027800
GCF_023716625.1,GCF_023716625.1,5375031
GCF_023716645.1,GCF_023716645.1,4910167
GCF_023716705.1,GCF_023716705.1,5023509
GCF_023206775.1,GCF_023206775.1,5204348
GCF_024397895.1,GCF_024397895.1,4755298
GCF_024397915.1,GCF_024397915.1,5208773
GCF_018282095.1,GCF_018282095.1,6030410
GCF_019378875.1,GCF_019378875.1,9870030
GCF_047497145.1,GCF_047497145.1,5407561
GCF_018972145.1,GCF_018972145.1,4131101
GCF_019139795.1,GCF_019139795.1,6228218
GCF_024971855.1,GCF_024971855.1,6666046
GCF_024971935.1,GCF_024971935.1,6095657
GCF_000826835.2,GCF_000826835.2,4227039
GCF_019466035.1,GCF_019466035.1,6953246
GCF_019599045.1,GCF_019599045.1,3612261
GCF_025917315.1,GCF_025917315.1,3818310
GCF_025137635.1,GCF_025137635.1,3367659
GCF_025137775.1,GCF_025137775.1,3358177
GCF_025137935.1,GCF_025137935.1,3364108
GCF_025138055.1,GCF_025138055.1,3364776
GCF_025138255.1,GCF_025138255.1,3389944
GCF_025138375.1,GCF_025138375.1,3315516
GCF_025138535.1,GCF_025138535.1,3328941
GCF_025138695.1,GCF_025138695.1,3287787
GCF_025138865.1,GCF_025138865.1,4251935
GCF_025141335.1,GCF_025141335.1,4125530
GCF_025141525.1,GCF_025141525.1,5142735
GCF_025139025.1,GCF_025139025.1,4391804
GCF_025139165.1,GCF_025139165.1,4532546
GCF_025139345.1,GCF_025139345.1,4443538
GCF_025139485.1,GCF_025139485.1,4449613
GCF_025139665.1,GCF_025139665.1,4602657
GCF_025139835.1,GCF_025139835.1,4550682
GCF_025139955.1,GCF_025139955.1,4374948
GCF_025140155.1,GCF_025140155.1,4730960
GCF_025140295.1,GCF_025140295.1,4668291
GCF_025141855.1,GCF_025141855.1,3920310
GCF_025140835.1,GCF_025140835.1,3389549
GCF_025141175.1,GCF_025141175.1,3942835
GCF_025142455.1,GCF_025142455.1,4178771
GCF_025142595.1,GCF_025142595.1,4314694
GCF_025142675.1,GCF_025142675.1,4204626
GCF_025142695.1,GCF_025142695.1,4281685
GCF_025142715.1,GCF_025142715.1,4163548
GCF_025142735.1,GCF_025142735.1,4244751
GCF_025142755.1,GCF_025142755.1,4301253
GCF_025142775.1,GCF_025142775.1,4314012
GCF_025142795.1,GCF_025142795.1,4139108
GCF_025142815.1,GCF_025142815.1,4402211
GCF_025142835.1,GCF_025142835.1,4089150
GCF_025142855.1,GCF_025142855.1,4301151
GCF_025143105.1,GCF_025143105.1,4283941
GCF_025143215.1,GCF_025143215.1,4114628
GCF_025143325.1,GCF_025143325.1,4284518
GCF_025143405.1,GCF_025143405.1,4182712
GCF_025143505.1,GCF_025143505.1,4266684
GCF_025143665.1,GCF_025143665.1,4202636
GCF_019754235.1,GCF_019754235.1,6865439
GCF_023746615.1,GCF_023746615.1,5519219
GCF_022343085.1,GCF_022343085.1,5260454
GCF_022343105.1,GCF_022343105.1,5201081
GCF_022343125.1,GCF_022343125.1,5208806
GCF_022343145.1,GCF_022343145.1,5202382
GCF_022343165.1,GCF_022343165.1,5121163
GCF_022343185.1,GCF_022343185.1,5243165
GCF_022343205.1,GCF_022343205.1,5332195
GCF_025144145.1,GCF_025144145.1,4890622
GCF_025144465.1,GCF_025144465.1,4686151
GCF_025143985.1,GCF_025143985.1,4147109
GCF_020151015.1,GCF_020151015.1,5565255
GCF_006440675.2,GCF_006440675.2,6463198
GCF_020217465.1,GCF_020217465.1,4160095
GCF_020422905.1,GCF_020422905.1,5837226
GCF_020520285.1,GCF_020520285.1,6811662
GCF_044797855.1,GCF_044797855.1,3079439
GCF_044801325.1,GCF_044801325.1,3701244
GCF_027571385.1,GCF_027571385.1,6367435
GCF_020717785.1,GCF_020717785.1,5502567
GCF_020911845.1,GCF_020911845.1,6473352
GCF_024748775.1,GCF_024748775.1,5931766
GCF_024748945.1,GCF_024748945.1,5858994
GCF_024748965.1,GCF_024748965.1,5917749
GCF_024749005.1,GCF_024749005.1,7065667
GCF_024749145.1,GCF_024749145.1,6918533
GCF_015594925.2,GCF_015594925.2,5210103
GCF_022812045.1,GCF_022812045.1,5449819
GCF_021397735.1,GCF_021397735.1,5722820
GCF_024362845.1,GCF_024362845.1,4635961
GCF_041879395.1,GCF_041879395.1,5103764
GCF_041879405.1,GCF_041879405.1,5418625
GCF_021560055.1,GCF_021560055.1,6876563
GCF_029016285.1,GCF_029016285.1,5456024
GCF_023311875.1,GCF_023311875.1,4747818
GCF_023311895.1,GCF_023311895.1,5022247
GCF_023311915.1,GCF_023311915.1,4745310
GCF_023314135.1,GCF_023314135.1,4746031
GCF_022453845.1,GCF_022453845.1,6252017
GCF_027595085.1,GCF_027595085.1,6362490
GCF_025820815.1,GCF_025820815.1,3804176
GCF_030440385.1,GCF_030440385.1,6181897
GCF_024662275.1,GCF_024662275.1,6178317
GCF_024662295.1,GCF_024662295.1,6181761
GCF_024662315.1,GCF_024662315.1,6181897
GCF_024662335.1,GCF_024662335.1,6181900
GCF_024662355.1,GCF_024662355.1,6181702
GCF_023558335.1,GCF_023558335.1,4519927
GCF_023558355.1,GCF_023558355.1,4526465
GCF_025917725.1,GCF_025917725.1,6371494
GCF_023650915.1,GCF_023650915.1,5150420
GCF_040070525.1,GCF_040070525.1,4927640
GCF_040070555.1,GCF_040070555.1,4777072
GCF_024123895.1,GCF_024123895.1,9357004
GCF_024125675.1,GCF_024125675.1,6002785
GCF_030994145.1,GCF_030994145.1,5139003
GCF_030994185.1,GCF_030994185.1,5137550
GCF_030994225.1,GCF_030994225.1,5107207
GCF_030991365.1,GCF_030991365.1,5221533
GCF_030991385.1,GCF_030991385.1,5352164
GCF_030995125.1,GCF_030995125.1,5459819
GCF_024137905.1,GCF_024137905.1,4892265
GCF_024206005.1,GCF_024206005.1,3900707
GCF_024508015.1,GCF_024508015.1,5180381
GCF_024508115.1,GCF_024508115.1,6179370
GCF_024628725.1,GCF_024628725.1,4297788
GCF_024741815.1,GCF_024741815.1,5689345
GCF_025642195.1,GCF_025642195.1,3046103
GCF_025857195.1,GCF_025857195.1,5473091
GCF_033555915.1,GCF_033555915.1,4297217
GCF_028471945.1,GCF_028471945.1,7004124
GCF_026639315.1,GCF_026639315.1,5370184
GCF_026183455.1,GCF_026183455.1,6506706
GCF_042232855.1,GCF_042232855.1,5719356
GCF_026810085.1,GCF_026810085.1,9716225
GCF_026898155.1,GCF_026898155.1,5945794
GCF_030064615.2,GCF_030064615.2,5432683
GCF_027886605.1,GCF_027886605.1,5920269
GCF_027886645.1,GCF_027886645.1,5920694
GCF_027886665.1,GCF_027886665.1,5921602
GCF_028551295.1,GCF_028551295.1,5460819
GCF_028551315.1,GCF_028551315.1,5963675
GCF_030159915.1,GCF_030159915.1,2974279
GCF_028743655.1,GCF_028743655.1,5975461
GCF_028743695.1,GCF_028743695.1,5117842
GCF_030849025.1,GCF_030849025.1,3592406
GCF_028885395.1,GCF_028885395.1,3855105
GCF_028885605.1,GCF_028885605.1,6070593
GCF_028885545.1,GCF_028885545.1,5982018
GCF_028885585.1,GCF_028885585.1,6005595
GCF_028898625.1,GCF_028898625.1,5873963
GCF_028898665.1,GCF_028898665.1,5949804
GCF_028898685.1,GCF_028898685.1,6052288
GCF_028898645.1,GCF_028898645.1,5972096
GCF_028898825.1,GCF_028898825.1,5882588
GCF_028898725.1,GCF_028898725.1,5936654
GCF_028898745.1,GCF_028898745.1,5986777
GCF_028898705.1,GCF_028898705.1,6073824
GCF_045571375.1,GCF_045571375.1,6191241
GCF_045571365.1,GCF_045571365.1,6180425
GCF_045571355.1,GCF_045571355.1,6189315
GCF_045571385.1,GCF_045571385.1,6190837
GCF_029023705.1,GCF_029023705.1,5505805
GCF_029203225.1,GCF_029203225.1,5397929
GCF_029277445.1,GCF_029277445.1,6242368
GCF_029590515.1,GCF_029590515.1,6279264
GCF_043585085.1,GCF_043585085.1,4507981
GCF_036630035.1,GCF_036630035.1,5509927
GCF_034009455.1,GCF_034009455.1,6956178
GCF_030060455.1,GCF_030060455.1,4385166
GCF_030060435.1,GCF_030060435.1,5869008
GCF_030285785.1,GCF_030285785.1,5005898
GCF_021283545.2,GCF_021283545.2,6438596
GCF_021283075.2,GCF_021283075.2,6442698
GCF_034480095.1,GCF_034480095.1,5162045
GCF_034480175.1,GCF_034480175.1,5312503
GCF_030704285.1,GCF_030704285.1,5165100
GCF_030717425.1,GCF_030717425.1,6390575
GCF_030718935.1,GCF_030718935.1,3207175
GCF_030845175.1,GCF_030845175.1,3918007
GCF_030845275.1,GCF_030845275.1,3212803
GCF_038811545.1,GCF_038811545.1,4813108
GCF_040869025.1,GCF_040869025.1,4856725
GCF_048300935.1,GCF_048300935.1,4699283
GCF_031844645.1,GCF_031844645.1,6733472
GCF_032113415.1,GCF_032113415.1,4157617
GCF_038442155.1,GCF_038442155.1,5284523
GCF_032463505.1,GCF_032463505.1,5397046
GCF_045278895.1,GCF_045278895.1,10225713
GCF_032681205.1,GCF_032681205.1,6183439
GCF_032911225.1,GCF_032911225.1,4900776
GCF_032923285.1,GCF_032923285.1,4140784
GCF_032924845.1,GCF_032924845.1,4703457
GCF_033807535.1,GCF_033807535.1,3699250
GCF_033173945.1,GCF_033173945.1,5314177
GCF_033879595.1,GCF_033879595.1,5946927
GCF_033396375.1,GCF_033396375.1,6185269
GCF_033397795.1,GCF_033397795.1,6185285
GCF_033397055.1,GCF_033397055.1,6185268
GCF_033546995.1,GCF_033546995.1,5907349
GCF_033547155.1,GCF_033547155.1,4500624
GCF_039634515.1,GCF_039634515.1,6767258
GCF_047123305.1,GCF_047123305.1,4254766
GCF_034044115.1,GCF_034044115.1,6276196
GCF_034424745.1,GCF_034424745.1,6559726
GCF_038095575.1,GCF_038095575.1,6197691
GCF_034555355.1,GCF_034555355.1,6191592
GCF_034661275.1,GCF_034661275.1,5850184
GCF_035599575.1,GCF_035599575.1,4237831
GCF_038253855.1,GCF_038253855.1,5225744
GCF_035621475.1,GCF_035621475.1,5351178
GCF_035621455.1,GCF_035621455.1,5105166
GCF_035666195.1,GCF_035666195.1,4233985
GCF_035758505.1,GCF_035758505.1,5588994
GCF_035756385.1,GCF_035756385.1,6902898
GCF_036281675.1,GCF_036281675.1,5344345
GCF_036328175.1,GCF_036328175.1,6202908
GCF_014337925.2,GCF_014337925.2,4854520
GCF_037071415.1,GCF_037071415.1,8236275
GCF_036347735.1,GCF_036347735.1,6434947
GCF_036351935.1,GCF_036351935.1,5782340
GCF_037100255.1,GCF_037100255.1,6286687
GCF_008014775.2,GCF_008014775.2,3694897
GCF_045277175.1,GCF_045277175.1,5873281
GCF_037023735.1,GCF_037023735.1,3637099
GCF_032842945.2,GCF_032842945.2,3717200
GCF_040571625.1,GCF_040571625.1,7078420
GCF_037746055.1,GCF_037746055.1,5181449
GCF_037756035.1,GCF_037756035.1,6211848
GCF_037758665.1,GCF_037758665.1,6198829
GCF_040448305.1,GCF_040448305.1,6759727
GCF_037997145.1,GCF_037997145.1,6559585
GCF_041228765.1,GCF_041228765.1,9235301
GCF_039658525.1,GCF_039658525.1,5681723
GCF_040126105.1,GCF_040126105.1,5395520
GCF_038383825.1,GCF_038383825.1,6124323
GCF_040411915.1,GCF_040411915.1,6124300
GCF_038396845.1,GCF_038396845.1,3861607
GCF_046532695.1,GCF_046532695.1,5154186
GCF_039542195.1,GCF_039542195.1,5809263
GCF_039544385.1,GCF_039544385.1,6410919
GCF_039830135.1,GCF_039830135.1,4339523
GCF_040783435.1,GCF_040783435.1,5760422
GCF_040783445.1,GCF_040783445.1,5709539
GCF_039880285.1,GCF_039880285.1,7137889
GCF_045348565.1,GCF_045348565.1,9651458
GCF_040214205.1,GCF_040214205.1,6950413
GCF_040235355.1,GCF_040235355.1,5823914
GCF_040250365.1,GCF_040250365.1,5914547
GCF_040268305.1,GCF_040268305.1,7130117
GCF_040580765.1,GCF_040580765.1,3281784
GCF_040516005.1,GCF_040516005.1,6185619
GCF_040516015.1,GCF_040516015.1,6365278
GCF_042140105.1,GCF_042140105.1,3969289
GCF_048085745.1,GCF_048085745.1,1765129
GCF_048085775.1,GCF_048085775.1,1772508
GCF_048087625.1,GCF_048087625.1,1743937
GCF_048087635.1,GCF_048087635.1,1746040
GCF_047720275.1,GCF_047720275.1,1394121
GCF_047722545.1,GCF_047722545.1,1352740
GCF_047727585.1,GCF_047727585.1,1441579
GCF_047727615.1,GCF_047727615.1,1448726
GCF_047729545.1,GCF_047729545.1,1306717
GCF_040822035.1,GCF_040822035.1,5289184
GCF_040869035.2,GCF_040869035.2,4856935
GCF_040931995.1,GCF_040931995.1,3039227
GCF_040969975.1,GCF_040969975.1,5170702
GCF_041224405.1,GCF_041224405.1,4371424
GCF_041222815.1,GCF_041222815.1,3137868
GCF_045679545.1,GCF_045679545.1,4997969
GCF_000256265.3,GCF_000256265.3,5268071
GCF_041346965.1,GCF_041346965.1,9677762
GCF_048319245.1,GCF_048319245.1,2548493
GCF_041530405.1,GCF_041530405.1,5876267
GCF_041501555.1,GCF_041501555.1,5241838
GCF_041501565.1,GCF_041501565.1,5185900
GCF_041501715.1,GCF_041501715.1,5186565
GCF_041521385.1,GCF_041521385.1,4147169
GCF_041524235.1,GCF_041524235.1,3917119
GCF_045586155.1,GCF_045586155.1,5214033
GCF_041893525.1,GCF_041893525.1,4070125
GCF_001262735.2,GCF_001262735.2,5836028
GCF_041950465.1,GCF_041950465.1,5377924
GCF_042159195.1,GCF_042159195.1,6185132
GCF_046523955.1,GCF_046523955.1,5962106
GCF_002872705.2,GCF_002872705.2,5053535
GCF_002874035.2,GCF_002874035.2,4955632
GCF_002874015.2,GCF_002874015.2,5029452
GCF_002874945.2,GCF_002874945.2,5045240
GCF_002874905.2,GCF_002874905.2,5092836
GCF_002874845.2,GCF_002874845.2,4999877
GCF_002873935.2,GCF_002873935.2,5031460
GCF_002873825.2,GCF_002873825.2,5101312
GCF_002873745.2,GCF_002873745.2,5068275
GCF_002874615.2,GCF_002874615.2,5006799
GCF_002873285.2,GCF_002873285.2,5026460
GCF_002872815.2,GCF_002872815.2,5261461
GCF_002877505.2,GCF_002877505.2,5131928
GCF_002877465.2,GCF_002877465.2,4985419
GCF_002876425.2,GCF_002876425.2,4990937
GCF_002875015.2,GCF_002875015.2,5186785
GCF_020806305.2,GCF_020806305.2,5266674
GCF_042691635.1,GCF_042691635.1,5836303
GCF_002872565.2,GCF_002872565.2,5038781
GCF_002874765.2,GCF_002874765.2,5046913
GCF_002876525.2,GCF_002876525.2,5943610
GCF_002875755.2,GCF_002875755.2,5028049
GCF_042932805.1,GCF_042932805.1,4474754
