Assembly,Nucleotide Accesion,homA_location,homB_location,homC_location,homD_location,homE_location,gene_arrangement,Kingdom,Phylum,Class,Order,Family,Genus,Species,Biosample ID,Bioproject Accession,Geographic Location,Isolation Source,Isolation Source Standardized,Environmental Source Standardized,Latitude,Longitude,Notes
GCA_039983075.1,JBDWXD010000006.1,24442-25092,22739-24439,21753-22727,20302-21753,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640608,PRJNA1050779,"USA:California, Camp Pendleton",spore release from mature blade,environmental,marine,33.30111111,-117.355,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039982955.1,JBDWXH010000029.1,170963-171607,169269-170975,168252-169235,166801-168252,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Ascidiaceihabitans,Ascidiaceihabitans sp.,SAMN39640612,PRJNA1050779,"USA:California, Leo Carillo",spore release from mature blade,environmental,marine,NA,NA,isolation source derived from bioproject information
GCA_039982855.1,JBDWXO010000175.1,24442-25092,22739-24439,21753-22727,20302-21753,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640619,PRJNA1050779,"USA:California, Leo Carillo",spore release from mature blade,environmental,marine,NA,NA,isolation source derived from bioproject information
GCA_039982815.1,JBDWXR010000019.1,24442-25092,22739-24439,21753-22727,20302-21753,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640622,PRJNA1050779,"USA:California, Leo Carillo",spore release from mature blade,environmental,marine,NA,NA,isolation source derived from bioproject information
GCA_039982335.1,JBDWYR010000048.1,5897-6547,4197-5900,3208-4182,1757-3208,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Tateyamaria,Tateyamaria sp.,SAMN39640648,PRJNA1050779,"USA:California, Channel Islands",spore release from mature blade,environmental,marine,32.81666667,-118.4508333,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039982185.1,JBDWYV010000056.1,661823-662458,660144-661826,659173-660147,657722-659173,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640652,PRJNA1050779,"USA:California, Arroyo Quemado",spore release from mature blade,environmental,marine,34.47,-120.1188889,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039982175.1,JBDWYW010000010.1,52213-52791,52791-54470,54470-55444,55444-56895,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Yoonia,Yoonia sp.,SAMN39640653,PRJNA1050779,"USA:California, Arroyo Quemado",spore release from mature blade,environmental,marine,34.47,-120.1188889,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039981975.1,JBDWZG010000027.1,95293-95922,95919-97586,97579-98565,98565-100007,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640663,PRJNA1050779,"USA:California, Leo Carillo",spore release from mature blade,environmental,marine,NA,NA,isolation source derived from bioproject information
GCA_039981855.1,JBDWZM010000021.1,24442-25092,22739-24439,21753-22727,20302-21753,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640669,PRJNA1050779,"USA:California, Leo Carillo",spore release from mature blade,environmental,marine,NA,NA,isolation source derived from bioproject information
GCA_039981615.1,JBDWZX010000010.1,24442-25092,22739-24439,21753-22727,20302-21753,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640680,PRJNA1050779,"USA:California, Channel Islands",spore release from mature blade,environmental,marine,32.81666667,-118.4508333,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039981535.1,JBDXAC010000013.1,24442-25092,22739-24439,21753-22727,20302-21753,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640685,PRJNA1050779,"USA:California, Channel Islands",spore release from mature blade,environmental,marine,32.81666667,-118.4508333,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039981335.1,JBDXAN010000014.1,24442-25092,22739-24439,21753-22727,20302-21753,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640696,PRJNA1050779,"USA:California, Channel Islands",spore release from mature blade,environmental,marine,32.81666667,-118.4508333,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039981015.1,JBDXBC010000039.1,29029-29817,29814-31613,33351-34352,34362-35828,28543-28926,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,Cobetia amphilecti,SAMN39640711,PRJNA1050779,"USA:California, Channel Islands",spore release from mature blade,environmental,marine,32.81666667,-118.4508333,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039981035.1,JBDXBD010000021.1,24442-25092,22739-24439,21753-22727,20302-21753,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640712,PRJNA1050779,"USA:California, Channel Islands",spore release from mature blade,environmental,marine,32.81666667,-118.4508333,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039980735.1,JBDXBR010000012.1,24442-25092,22739-24439,21753-22727,20302-21753,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640726,PRJNA1050779,"USA:California, Camp Pendleton",spore release from mature blade,environmental,marine,33.30111111,-117.355,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039980575.1,JBDXBZ010000037.1,18574-19341,19338-21068,22729-23730,23742-25184,18150-18545,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter alexandrii,SAMN39640734,PRJNA1050779,"USA:California, Camp Pendleton",spore release from mature blade,environmental,marine,33.30111111,-117.355,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039980465.1,JBDXCE010000015.1,95293-95922,95919-97586,97579-98565,98565-100007,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640739,PRJNA1050779,"USA:California, Leo Carillo",spore release from mature blade,environmental,marine,NA,NA,isolation source derived from bioproject information
GCA_039980275.1,JBDXCN010000012.1,24442-25092,22739-24439,21753-22727,20302-21753,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640748,PRJNA1050779,"USA:California, Leo Carillo",spore release from mature blade,environmental,marine,NA,NA,isolation source derived from bioproject information
GCA_039980155.1,JBDXCT010000025.1,38858-39520,37182-38858,36181-37185,34733-36184,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Lentilitoribacter,Lentilitoribacter sp.,SAMN39640754,PRJNA1050779,"USA:California, Leo Carillo",spore release from mature blade,environmental,marine,NA,NA,isolation source derived from bioproject information
GCA_039980065.1,JBDXCW010000017.1,588223-588990,586496-588226,583834-584835,582380-583822,589019-589414,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter alexandrii,SAMN39640757,PRJNA1050779,"USA:California, Leo Carillo",spore release from mature blade,environmental,marine,NA,NA,isolation source derived from bioproject information
GCA_039979965.1,JBDXDD010000003.1,407275-407937,407937-409613,409610-410614,410611-412062,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Lentilitoribacter,Lentilitoribacter sp.,SAMN39640764,PRJNA1050779,"USA:California, Leo Carillo",spore release from mature blade,environmental,marine,NA,NA,isolation source derived from bioproject information
GCA_039979815.1,JBDXDL010000218.1,1-525,522-2216,2231-3205,3205-4656,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseobacter,Roseobacter sp.,SAMN39640772,PRJNA1050779,"USA:California, Camp Pendleton",spore release from mature blade,environmental,marine,33.30111111,-117.355,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039979645.1,JBDXDS010000003.1,6880-7530,7533-9233,9245-10219,10219-11670,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640779,PRJNA1050779,"USA:California, Arroyo Quemado",spore release from mature blade,environmental,marine,34.47,-120.1188889,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039990885.1,JBDXFE010000015.1,24442-25092,22739-24439,21753-22727,20302-21753,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640817,PRJNA1050779,"USA:California, Channel Islands",spore release from mature blade,environmental,marine,32.81666667,-118.4508333,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039990365.1,JBDXGB010000100.1,135840-136475,134161-135843,133190-134164,131739-133190,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640840,PRJNA1050779,"USA:California, Arroyo Quemado",spore release from mature blade,environmental,marine,34.47,-120.1188889,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039990075.1,JBDXGN010000006.1,2403-3038,3035-4729,4743-5717,5717-7168,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Tateyamaria,Tateyamaria sp.,SAMN39640852,PRJNA1050779,"USA:California, Channel Islands",spore release from mature blade,environmental,marine,32.81666667,-118.4508333,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039989595.1,JBDXHL010000061.1,2-637,634-2328,2343-3317,3317-4768,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae bacterium,SAMN39640876,PRJNA1050779,"USA:California, Channel Islands",spore release from mature blade,environmental,marine,32.81666667,-118.4508333,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039989295.1,JBDXIB010000054.1,1-525,522-2216,2231-3205,3205-4656,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseobacter,Roseobacter sp.,SAMN39640892,PRJNA1050779,"USA:California, Arroyo Quemado",spore release from mature blade,environmental,marine,34.47,-120.1188889,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039988675.1,JBDXJF010000016.1,1-525,522-2216,2231-3205,3205-4656,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseobacter,Roseobacter sp.,SAMN39640922,PRJNA1050779,"USA:California, Channel Islands",spore release from mature blade,environmental,marine,32.81666667,-118.4508333,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039988435.1,JBDXJR010000044.1,2403-3038,3035-4729,4743-5717,5717-7168,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Tateyamaria,Tateyamaria sp.,SAMN39640934,PRJNA1050779,"USA:California, Channel Islands",spore release from mature blade,environmental,marine,32.81666667,-118.4508333,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039988115.1,JBDXKH010000210.1,11969-12736,10242-11972,7580-8581,6126-7568,12765-13160,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter alexandrii,SAMN39640950,PRJNA1050779,"USA:California, Arroyo Quemado",spore release from mature blade,environmental,marine,34.47,-120.1188889,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039987635.1,JBDXLG010000057.1,2403-3038,3035-4729,4743-5717,5717-7168,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Tateyamaria,Tateyamaria sp.,SAMN39640975,PRJNA1050779,"USA:California, Camp Pendleton",spore release from mature blade,environmental,marine,33.30111111,-117.355,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039987435.1,JBDXLQ010000294.1,1-525,522-2216,2231-3205,3205-4656,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseobacter,Roseobacter sp.,SAMN39640985,PRJNA1050779,"USA:California, Camp Pendleton",spore release from mature blade,environmental,marine,33.30111111,-117.355,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_039987305.1,JBDXLW010000040.1,2403-3038,3035-4729,4743-5717,5717-7168,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Tateyamaria,Tateyamaria sp.,SAMN39640991,PRJNA1050779,"USA:California, Camp Pendleton",spore release from mature blade,environmental,marine,33.30111111,-117.355,lat lon derived from geographic location name; isolation source derived from bioproject information
GCA_040329495.1,JBDZYF010000003.1,362427-363056,363053-364741,364746-365720,365720-367165,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria sp. SCP10,SAMN40551130,PRJNA1089936,Singapore: Kusu Island,coral tissue fragment,non-environmental,other,NA,NA,NA
GCA_040329455.1,JBDZYG010000010.1,127538-128167,125856-127541,124882-125859,123470-124882,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria sp. SCP11,SAMN40551131,PRJNA1089936,Singapore: Kusu Island,macerated skeletal coral fragment,non-environmental,other,NA,NA,NA
GCA_040329475.1,JBDZYH010000007.1,246393-247106,244712-246400,242053-243072,240605-242056,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Roseibium,Roseibium sp. SCP14,SAMN40551128,PRJNA1089936,Singapore: Kusu Island,macerated skeletal coral fragment,non-environmental,other,NA,NA,NA
GCA_040104475.1,JBECOU010000001.1,1154817-1155548,1155545-1157284,1159116-1160102,1160170-1161630,1161725-1162123,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. SSH13-20,SAMN40698857,PRJNA795563,"USA: FL, Summerland Key, offshore",coral surface mucus layer and tissue,non-environmental,other,24.51,-81.55,NA
GCA_041176445.1,JBEDDB010000001.1,8030-8614,6366-8030,5359-6369,3917-5362,NA,homABCD,Pseudomonadati,Pseudomonadota,NA,NA,NA,NA,Pseudomonadota bacterium,SAMN37153950,PRJNA946291,USA,river surface water,environmental,freshwater,NA,NA,NA
GCA_040118955.1,JBEDTK010000018.1,50347-50910,50907-52574,52571-53548,53553-55004,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Lentibacter,Lentibacter sp.,SAMN26664027,PRJNA816150,United Kingdom: Faroe Shetland Channel,isotopically labeled n-hexadecane aerobic fsc enrichments from water column seawater sample,environmental,marine,60.633333,-4.9,NA
GCA_040119045.1,JBEDTN010000073.1,38535-39185,39182-40885,40900-41874,41874-43325,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Tateyamaria,Tateyamaria sp.,SAMN26664035,PRJNA816150,United Kingdom: Faroe Shetland Channel,isotopically labeled n-hexadecane aerobic fsc enrichments from water column seawater sample,environmental,marine,60.633333,-4.9,NA
GCA_040119135.1,JBEDTT010000089.1,38563-39213,39210-40913,40928-41902,41902-43353,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Tateyamaria,Tateyamaria sp.,SAMN26664026,PRJNA816150,United Kingdom: Faroe Shetland Channel,isotopically labeled n-hexadecane aerobic fsc enrichments from water column seawater sample,environmental,marine,60.633333,-4.9,NA
GCA_040119355.1,JBEDUD010000004.1,532301-532864,530637-532304,529663-530640,528207-529658,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Lentibacter,Lentibacter sp.,SAMN26664040,PRJNA816150,United Kingdom: Faroe Shetland Channel,isotopically labeled n-hexadecane aerobic fsc enrichments from water column seawater sample,environmental,marine,60.633333,-4.9,NA
GCA_046056815.1,JBEEAK010000018.1,525698-526429,523965-525701,521163-522152,519633-521093,519161-519559,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN40717412,PRJNA1095381,Israel: Eilat,sea water,environmental,marine,NA,NA,NA
GCA_046056635.1,JBEEAM010000002.1,797926-798657,796193-797929,793391-794380,791861-793321,791390-791788,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio diabolicus,SAMN40717408,PRJNA1095381,Israel: Ma'agan Michael,fish farm,non-environmental,other,NA,NA,NA
GCA_046056745.1,JBEEAN010000001.1,855090-855821,853357-855090,850504-851493,848976-850436,848484-848882,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio campbellii,SAMN40717406,PRJNA1095381,Israel: Tel Aviv,sea water,environmental,marine,NA,NA,NA
GCA_046056605.1,JBEEAO010000006.1,810866-811597,809133-810869,806331-807320,804801-806261,804329-804727,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN40717405,PRJNA1095381,Israel: Tel Aviv,sea water,environmental,marine,NA,NA,NA
GCA_046056935.1,JBEEAP010000004.1,1554277-1555008,1555005-1556744,1558576-1559562,1559630-1561090,1561185-1561583,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio owensii,SAMN40717404,PRJNA1095381,Israel: Ma'agan Michael,sea water,environmental,marine,NA,NA,NA
GCA_046056945.1,JBEEAR010000014.1,617627-618358,615894-617630,613040-614029,611512-612972,611020-611418,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio campbellii,SAMN40717402,PRJNA1095381,Israel: Ma'agan Michael,sea water,environmental,marine,NA,NA,NA
GCA_046056995.1,JBEEAT010000002.1,1518733-1519464,1519461-1521200,1523032-1524018,1524086-1525546,1525641-1526039,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi,SAMN40717399,PRJNA1095381,Israel: Tel Aviv,sea water,environmental,marine,NA,NA,NA
GCA_046057005.1,JBEEAU010000001.1,144245-144976,144973-146709,148522-149511,149581-151041,151115-151513,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN40717398,PRJNA1095381,Israel: Tel Aviv,sea water,environmental,marine,NA,NA,NA
GCA_046057055.1,JBEEAW010000002.1,1048865-1049596,1049593-1051329,1053142-1054131,1054201-1055661,1055735-1056133,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio diabolicus,SAMN40717396,PRJNA1095381,Israel: Tel Aviv,sea water,environmental,marine,NA,NA,NA
GCA_046057115.1,JBEEAZ010000007.1,231972-232703,232700-234439,236271-237257,237325-238785,238880-239278,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio owensii,SAMN40717393,PRJNA1095381,Israel: Tel Aviv,sea water,environmental,marine,NA,NA,NA
GCA_046057245.1,JBEEBB010000001.1,534808-535539,535550-537268,539068-540057,540140-541600,541679-542077,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio mediterranei,SAMN40717391,PRJNA1095381,Israel: Tel Aviv,sea water,environmental,marine,NA,NA,NA
GCA_040196315.1,JBEGCI010000012.1,63513-64280,61765-63516,59110-60117,57645-59087,64308-64694,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas pelophila,SAMN41387326,PRJNA1111279,South Korea: Incheon,mud,environmental,other,37.45638889,126.705,lat lon derived from geographic location name
GCA_040813775.1,JBEGDL010000032.1,47232-47987,48990-50705,47978-48988,45762-47210,NA,homBCAD,Bacillati,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Ammoniphilus,Ammoniphilus sp. 3BR4,SAMN41600853,PRJNA1118219,"China:Aksu, Xinjiang",soil,environmental,soil,NA,NA,NA
GCA_040299465.1,JBEPCD010000058.1,15685-16377,13046-14698,14699-15688,11589-13049,16374-16778,homDBCAE,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis sp. NPDC000746,SAMN41495249,PRJNA1106891,not applicable,NA,unknown,NA,NA,NA,NA
GCA_040299525.1,JBEPCE010000346.1,2287-2979,3966-5618,2976-3965,5615-7075,1886-2290,homDBCAE,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis sp. NPDC000740,SAMN41495248,PRJNA1106891,not applicable,NA,unknown,NA,NA,NA,NA
GCA_040514255.1,JBEVCC010000022.1,3068-3691,3688-5415,5408-6388,6397-7839,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,NA,NA,NA,SAR116 cluster bacterium,SAMN41398214,PRJNA1111281,Philippines,water from submarine groundwater discharge (sgd) at 7 m depth,environmental,marine,13.68701,120.89573,NA
GCA_040508015.1,JBEVNS010000074.1,9214-9864,7628-9217,6435-7481,4953-6431,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,NA,Pseudorhodoplanes,Pseudorhodoplanes sp.,SAMN41325138,PRJNA1109856,"USA:Platteville, Wisconsin",soil,environmental,soil,42.726778,-90.494936,NA
GCA_040539245.1,JBEWWJ010000003.1,690984-691715,689248-690987,686430-687416,684902-686362,684409-684807,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio owensii,SAMN42149898,PRJNA1129306,Mexico,water,environmental,other,NA,NA,NA
GCA_040539315.1,JBEWWK010000003.1,12540-13271,13268-15007,16839-17825,17893-19353,19448-19846,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio owensii,SAMN42149897,PRJNA1129306,Mexico,water,environmental,other,NA,NA,NA
GCA_040539345.1,JBEWWL010000009.1,169865-170596,170593-172332,174164-175150,175218-176678,176773-177171,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi,SAMN42149896,PRJNA1129306,Mexico,water,environmental,other,NA,NA,NA
GCA_040539375.1,JBEWWM010000014.1,134144-134875,132408-134147,129590-130576,128062-129522,127569-127967,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio rotiferianus,SAMN42149895,PRJNA1129306,Mexico,water,environmental,other,NA,NA,NA
GCA_040539335.1,JBEWWN010000023.1,6571-7302,7299-9038,10870-11856,11924-13384,13479-13877,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi,SAMN42149894,PRJNA1129306,Mexico,water,environmental,other,NA,NA,NA
GCA_040539395.1,JBEWWO010000006.1,86459-87190,84723-86462,81905-82891,80377-81837,79884-80282,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio owensii,SAMN42149893,PRJNA1129306,Mexico,water,environmental,other,NA,NA,NA
GCA_040610415.1,JBEXMH010000011.1,180998-181690,182677-184329,181687-182676,184326-185786,180600-181001,homDBCAE,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis sp. NPDC004079,SAMN41495797,PRJNA1106891,Indonesia,NA,unknown,NA,NA,NA,NA
GCA_040705175.1,JBFCVR010000001.1,836276-837007,834543-836279,831741-832730,830211-831671,829739-830137,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. JC34,SAMN34223247,PRJNA940485,"USA: Maunalua Bay, Oahu, Hawaii",egg jelly coat,unknown,NA,21.2812,-157.7293,NA
GCA_040704725.1,JBFCVS010000001.1,173873-174502,174499-176187,176191-177174,177312-178757,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Leisingera,Leisingera sp. JC11,SAMN34223246,PRJNA940485,"USA: Maunalua Bay, Oahu, Hawaii",egg jelly coat,unknown,NA,21.2812,-157.7293,NA
GCA_040705255.1,JBFCVU010000016.1,17021-17671,15333-17024,14341-15318,12890-14341,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria sp. ANG10,SAMN34223244,PRJNA940485,"USA: Maunalua Bay, Oahu, Hawaii",acessory nidamental gland,unknown,NA,21.2812,-157.7293,NA
GCA_040719155.1,JBFDUX010000003.1,13614-14345,14342-16078,17892-18881,18951-20411,20484-20882,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio diabolicus,SAMN42149892,PRJNA1129306,Mexico,water,environmental,other,NA,NA,NA
GCA_040750335.1,JBFLVC010000024.1,110265-110960,110963-112657,114290-115276,115290-116732,109866-110237,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,SAMN41405358,PRJNA1111866,"USA: Garland, TX",soil,environmental,soil,NA,NA,NA
GCA_040755925.1,JBFLWR010000391.1,8918-9499,9496-11148,14625-15599,13180-14628,NA,homABDC,Pseudomonadati,Pseudomonadota,NA,NA,NA,NA,Pseudomonadota bacterium,SAMN42145308,PRJNA983765,Israel,groundwater,environmental,freshwater,30.55503111,35.17672029,NA
GCA_040790605.1,JBFMZO010000001.1,442032-442727,440335-442029,437716-438702,436260-437702,442755-443126,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,SAMN42497274,PRJNA1135974,Unknown,soil,environmental,soil,NA,NA,NA
